,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T13,0.194717958677123,0.1933855622002328,0.1848238392269463,0.2070814123666118,0.1232409030273877,0.1651769612250419,0.1945681051683513,0.2266846494162783,0.2063361586613651,0.17807391559341096,0.1846781395121959,0.198984156058218,0.0,0.0508512504317499,0.1779035039513113,0.18040594454203734,0.17810580960460665,0.1817688949999476,0.17779167537691326,0.1546136317632599,0.17765725841905788,0.1779411356814419,0.1883860037129622,0.17832672047042938,0.1827276458932267,0.1807197751833285,0.17796669421924516,0.1269750466743731,0.17825273856700846,0.1781126372229383
T14,0.17711347743581357,0.1576672420081427,0.1773730396346639,0.1713630921745217,0.13474709090355794,0.1646320528598429,0.17745318506052787,0.2142816798079098,0.17737415852119603,0.17771963219156803,0.1489598193201058,0.1780413317883245,0.0508512504317499,0.0,0.17731920853204766,0.1776718017465237,0.17767108034639195,0.17730793094759745,0.1470428763439203,0.1461772934194708,0.1562490598131381,0.17747816924455276,0.1770701157150208,0.1772692805408238,0.1470093257011366,0.17707503972170413,0.17730575804949697,0.130829946999611,0.17733904087992405,0.17728220668750808
T15,0.17281185195261323,0.0843605988577485,0.13722591383674054,0.17032297333499047,0.15593636661556268,0.17796160772052588,0.1998746253714653,0.22712707162149848,0.13796704945440055,0.1621379586668027,0.1899846597153098,0.204290676261332,0.1779035039513113,0.17731920853204766,0.0,0.2186966421417277,0.13759428554606626,0.13792793914077978,0.1381719949476365,0.1727900591995226,0.1374476477801562,0.17216227862852598,0.13753943920768788,0.13759580186064804,0.13760082712388408,0.1374838381859434,0.13759777276560556,0.17286613439425297,0.13774091854001985,0.1959934854992125
T16,0.18799000282964332,0.1910520570236508,0.18829383241831293,0.18839175527644494,0.18810908261766615,0.18821499044729545,0.1882408000578388,0.22731133345422222,0.18800122745366557,0.2143241857152928,0.1807544469008947,0.18810158806019614,0.18040594454203734,0.1776718017465237,0.2186966421417277,0.0,0.1852922087464505,0.1794353898233656,0.1804276913594284,0.1885271218152409,0.1896338748286462,0.1923573207344281,0.18816703668604395,0.1923684051787144,0.18798625297867538,0.1882323300020917,0.1880217246977069,0.1788815122917011,0.18804270120527775,0.1883534601195166
T17,0.1666200454849597,0.1054613965798836,0.108183468834284,0.1656869904774419,0.1531296641620018,0.1722524598597697,0.17239021325274645,0.22757507423416665,0.12823166876589845,0.1404522693516116,0.1565802263200326,0.1708862428660548,0.17810580960460665,0.17767108034639195,0.13759428554606626,0.1852922087464505,0.0,0.12754640107280252,0.1279316053670893,0.17273863189397173,0.0831993370340941,0.17240446167550713,0.12761338403422104,0.119605148279156,0.12773909588503485,0.1040794047906662,0.12785741942491333,0.17291549339282825,0.12810047973188815,0.1662918938331894
T18,0.17277832540991853,0.12801834565879122,0.12775354700889505,0.17023168093752322,0.1472728452389169,0.17769984014281448,0.17293040627681683,0.22715543085773432,0.12803389253064118,0.1341605015761275,0.1507234073969477,0.17090482416439237,0.1817688949999476,0.17730793094759745,0.13792793914077978,0.1794353898233656,0.12754640107280252,0.0,0.1280503481686744,0.17261235785135876,0.109470190689481,0.17221258139227752,0.0760247895966226,0.1277242631102898,0.12225982729775242,0.1276008706228664,0.12775604403185695,0.172619342566212,0.1000654120840988,0.16628254334293235
T19,0.1617555280979376,0.12815834239416538,0.0969410335088345,0.17030522484950023,0.1482651467749797,0.17768514027024393,0.17262215578404058,0.203741060723808,0.12860229201177217,0.14086997405969814,0.1517157089330105,0.17096716260914263,0.17779167537691326,0.1470428763439203,0.1381719949476365,0.1804276913594284,0.1279316053670893,0.1280503481686744,0.0,0.17257232355342073,0.12787544551526386,0.17204788854518885,0.1005031979948504,0.12775154363316085,0.127565483604117,0.12771235674360104,0.1088503420946045,0.17287081344498706,0.12801375375910623,0.16688975050845056
T20,0.1608899451734881,0.1462610399995913,0.1728629463236186,0.17274251790344364,0.17258049699807748,0.17756976185772178,0.1607400916647165,0.1848426852111924,0.17265869249206123,0.17277663733945758,0.17269239013755508,0.17288125365511306,0.1546136317632599,0.1461772934194708,0.1727900591995226,0.1885271218152409,0.17273863189397173,0.17261235785135876,0.17257232355342073,0.0,0.17284953510880594,0.1624529998420943,0.17283741239966466,0.17272345071189613,0.17276627582682955,0.17263317146898277,0.17246698106002448,0.16216555687210205,0.1724972369239813,0.1727012769614679
T21,0.17263424491809984,0.12796673687157947,0.1276169122000964,0.1700286565596377,0.15579334522495594,0.1776570779090649,0.17259034043801472,0.22716654169457007,0.1019097817724267,0.1406819711609833,0.1609218924022283,0.1752279089482505,0.17765725841905788,0.1562490598131381,0.1374476477801562,0.1896338748286462,0.0831993370340941,0.109470190689481,0.12787544551526386,0.17284953510880594,0.0,0.1724919755413404,0.12779767373577036,0.1111194108171429,0.12797415673552226,0.1084210708728619,0.12784952974826566,0.17257396267001254,0.1277628082066632,0.1669307181861311
T22,0.1736851574729372,0.17198385370292296,0.1720976261511384,0.17251789363932443,0.1617849635846986,0.17753205017406815,0.1735353039641656,0.2305573862305334,0.17231151932056618,0.17230447010543665,0.17209711813601428,0.1721657752804092,0.1779411356814419,0.17747816924455276,0.17216227862852598,0.1923573207344281,0.17240446167550713,0.17221258139227752,0.17204788854518885,0.1624529998420943,0.1724919755413404,0.0,0.17221366048404094,0.17236938083881145,0.1632850321237601,0.17231278806231684,0.1721513664972879,0.1617724036988165,0.17219808097166386,0.17217124866745628
