method,pct_missing,replicate,mask_seed,file,path,success,error_message,n_taxa,n_pairs,n_edges,n_terminal_edges,n_internal_edges,nnls_rnorm,branch_fit_solver,tree_length_ref,tree_length_hat,tree_length_abs_error,tree_length_rel_error,edge_BL_MAE,edge_BL_RMSE,edge_BL_Bias,edge_BL_MaxAE,edge_BL_Pearson,edge_BL_Spearman,edge_BL_rel_RMSE,edge_BL_rel_MAE,terminal_BL_MAE,terminal_BL_RMSE,terminal_BL_Bias,terminal_BL_MaxAE,terminal_BL_Pearson,terminal_BL_Spearman,terminal_BL_rel_RMSE,terminal_BL_rel_MAE,internal_BL_MAE,internal_BL_RMSE,internal_BL_Bias,internal_BL_MaxAE,internal_BL_Pearson,internal_BL_Spearman,internal_BL_rel_RMSE,internal_BL_rel_MAE,fit_pat_MAE,fit_pat_RMSE,fit_pat_Bias,fit_pat_MaxAE,fit_pat_Pearson,fit_pat_Spearman,fit_pat_rel_RMSE,fit_pat_rel_MAE,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Bias,input_vs_ML_pat_MaxAE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,input_vs_ML_pat_rel_RMSE,input_vs_ML_pat_rel_MAE
LRMC-SoftImpute,50,8,62,LRMC_SoftImpute_completed_p50_rep08_seed62.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep08_seed62.csv,True,,15,105,27,15,12,0.2686839976600574,scipy.optimize.nnls,1.2142374164,0.5204438787954438,0.6937935376045562,0.5713821104784695,0.02822212205970524,0.04363498500837838,-0.025696056948316896,0.11162881338049058,0.6372494521246723,0.6643236131728766,0.7043698954465664,0.6275521453384538,0.030152772244592785,0.04491842125215842,-0.027546935717296474,0.10349142597808966,0.4918661134999549,0.5249999999999999,0.6718562120421117,0.5618465572903142,0.025808809328595802,0.04197554172134312,-0.023382458487092417,0.11162881338049058,0.7905306796074316,0.521139683250959,0.7603801683946115,0.7568041826229107,0.1581376725179515,0.17602484248948186,-0.15792626201442658,0.2601877440041871,0.9345985886561397,0.8898921832884097,0.6322766165199601,0.6152677319971385,0.15863022028598595,0.1781188719255674,-0.1579297721846769,0.31157068577909003,0.7186111119799821,0.6914368650217707,0.6397983153211989,0.6171840922376397
LRMC-SoftImpute,50,9,63,LRMC_SoftImpute_completed_p50_rep09_seed63.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep09_seed63.csv,True,,15,105,27,15,12,0.2906887928291154,scipy.optimize.nnls,1.2142374164,0.5619284404222311,0.6523089759777689,0.5372169949364187,0.02624895415414614,0.0415170615410903,-0.02415959170288033,0.12586844285779236,0.6520625095698954,0.7244369536466921,0.6701816968959975,0.5836764314701988,0.024932767572763245,0.03874892214434356,-0.022801489095646107,0.09566729429169868,0.6693586825458268,0.7107142857142856,0.5795774501171364,0.4645804873543161,0.027894187380874763,0.04473701698347275,-0.0258572199619231,0.12586844285779236,0.7470272931445352,0.601844440563991,0.8104038473926128,0.8179547305703547,0.15816696015521314,0.1784710699834932,-0.15779857595202573,0.2902208081031976,0.8569424103085392,0.6910843873108025,0.6410634015059716,0.6153816816832987,0.15901364719937464,0.18083628264107204,-0.15779857595202573,0.32334517530719165,0.6088267642462251,0.5211279286750985,0.6495591833247991,0.6186758949411387
LRMC-SoftImpute,50,10,64,LRMC_SoftImpute_completed_p50_rep10_seed64.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep10_seed64.csv,True,,15,105,27,15,12,0.30520649861620336,scipy.optimize.nnls,1.2142374164,0.5362959797629647,0.6779414366370353,0.5583269198267767,0.030720558893168635,0.04698541803332921,-0.025108942097667977,0.13718363197268546,0.36215254160343713,0.48639616592639046,0.7584536577999211,0.6831078328773144,0.032065314547624055,0.046128374609865457,-0.02629872118685875,0.10258611833380274,0.311093700191702,0.3285714285714285,0.689953791097556,0.5974835892658038,0.02903961432509937,0.04803522366232898,-0.023621718236179506,0.13718363197268546,0.27026249737129576,0.5089773777040516,0.8701503294396511,0.8515426381425839,0.16000230315459424,0.17917175792799214,-0.15897538064785446,0.2793308528867864,0.879048759855615,0.8101700186605847,0.6435802542212955,0.6225224679784672,0.16056503746399117,0.18173565585135842,-0.1589753806478545,0.3433607838358331,0.6091281252178192,0.573367198838897,0.6527897083026729,0.624711903656549
LRMC-SoftImpute,50,11,65,LRMC_SoftImpute_completed_p50_rep11_seed65.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep11_seed65.csv,True,,15,105,27,15,12,0.2601835940067673,scipy.optimize.nnls,1.2142374164,0.5503989472508246,0.6638384691491754,0.5467122493369867,0.02512998614710726,0.037793207962747224,-0.024586609968487983,0.11494646653679694,0.8645143142169457,0.8456867565393762,0.6100700604388704,0.5587948590676423,0.024823241735507755,0.03493437311587565,-0.024124039443960518,0.08241132747933404,0.9454103105047027,0.8928571428571428,0.5225222734329776,0.462539656279244,0.02551341666160664,0.04108797569862461,-0.025164823124147317,0.11494646653679694,0.9217679744527913,0.77587174867888,0.7443020530412394,0.7481422407623911,0.15480104442861667,0.1725584297589288,-0.15470717784384846,0.26259539082801236,0.9491453210584053,0.9024258760107815,0.619825352927057,0.6022858816615713,0.1549646588481906,0.17448677808089214,-0.15470717784384844,0.3458129374716836,0.7488860926297441,0.6845739166493884,0.6267519295127215,0.6029224578249257
LRMC-SoftImpute,50,12,66,LRMC_SoftImpute_completed_p50_rep12_seed66.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep12_seed66.csv,True,,15,105,27,15,12,0.2550347223718985,scipy.optimize.nnls,1.2142374164,0.515701585469319,0.6985358309306811,0.575287683854873,0.026221827053500155,0.04558823863001989,-0.025871697441877072,0.14800302954604788,0.4813128583805358,0.7248838620030355,0.7358999406383335,0.583073228416538,0.02724998873418771,0.04449112167439595,-0.027000887367545454,0.13967437148016953,0.4666709983337302,0.6214285714285712,0.665464983950833,0.5077580340643062,0.02493662495264072,0.04692357609256571,-0.024460210034791596,0.14800302954604788,0.40532741684465484,0.7203398344231755,0.8500130130018202,0.7312286988670674,0.1568607443443906,0.17645585473048864,-0.1568607443443906,0.3147132986455147,0.8364991458144628,0.780033174372797,0.6338248011828082,0.6102995755246137,0.1568607443443906,0.1783828497999047,-0.1568607443443906,0.3350312998153596,0.6668491612785451,0.6137362637362637,0.6407465169208231,0.6102995755246137
LRMC-SoftImpute,50,13,67,LRMC_SoftImpute_completed_p50_rep13_seed67.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep13_seed67.csv,True,,15,105,27,15,12,0.24800948496691164,scipy.optimize.nnls,1.2142374164,0.4972326198252661,0.7170047965747339,0.5904980252548359,0.02753287292696038,0.045270995894222184,-0.026555733206471626,0.1491651834754326,0.544940108316532,0.7343975790742013,0.7307789068485406,0.6122258785534245,0.028861292719492383,0.043617410960005085,-0.028861292719492383,0.12245681864147442,0.7111022407850581,0.8749999999999999,0.6523966713381529,0.5377819930405473,0.025872348186295382,0.047256679234321676,-0.023673783815195682,0.1491651834754326,0.3352922449059924,0.5449202892527648,0.8560471226912824,0.7586673632390287,0.1576828902403974,0.17631286790853365,-0.1576828902403974,0.3082046462119382,0.8903620142436053,0.8293696869168566,0.6333111962693537,0.6134983063061701,0.1576828902403974,0.17816376957424582,-0.1576828902403974,0.3155857908609626,0.7114901802187477,0.6445676964544889,0.6399595864974409,0.6134983063061701
LRMC-SoftImpute,50,14,68,LRMC_SoftImpute_completed_p50_rep14_seed68.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep14_seed68.csv,True,,15,105,27,15,12,0.29367458557563436,scipy.optimize.nnls,1.2142374164,0.5051455285708808,0.7090918878291192,0.5839812529673577,0.027620126798018684,0.0389915741160034,-0.026262662512189602,0.11540476959177026,0.8866093810222525,0.8454932429374947,0.6294144704785136,0.614166071209947,0.030639104394377843,0.03948580658275683,-0.029721836151570532,0.09702122810249023,0.9214968736711683,0.8107142857142855,0.5905992174389637,0.570908544753352,0.02384640480256975,0.038364831098740906,-0.02193869546296344,0.11540476959177026,0.8438880383646896,0.6419608887087366,0.6949727278077878,0.6992596467868807,0.15820018361771204,0.17715215624919511,-0.1580782185158676,0.2725505489616035,0.9073650551174954,0.7718847190545304,0.6363258979717558,0.6155109445217819,0.15843565923484096,0.17965124644627709,-0.15807821851586756,0.34326966416487986,0.6579842556923808,0.5451586149699357,0.6453025644004368,0.616427111723339
LRMC-SoftImpute,50,15,69,LRMC_SoftImpute_completed_p50_rep15_seed69.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep15_seed69.csv,True,,15,105,27,15,12,0.3192914762312405,scipy.optimize.nnls,1.2142374164,0.5882857764121447,0.6259516399878553,0.515510090146696,0.027367442598795807,0.04145837966873847,-0.023183394073624273,0.12226531225002285,0.6207005426386283,0.6140950922388119,0.6692344353285848,0.6085473402378402,0.025946043327395765,0.0379149185131814,-0.02012283321136491,0.09757440610860962,0.6582216739198083,0.7392857142857142,0.5671030464127752,0.48346118892656104,0.029144191688045856,0.04550129111769654,-0.027009095151448486,0.12226531225002285,0.7501936327682408,0.28365713687130223,0.8242485500706307,0.8546092106712857,0.15854258503516488,0.17867057324619018,-0.15751152149548975,0.2711041003555895,0.8694477894612584,0.8045718432510885,0.6417800119919618,0.6168431289418156,0.15946937979810608,0.18156707921327406,-0.15751152149548975,0.33300135630863553,0.5646371578145847,0.5461538461538462,0.6521841854409856,0.620449018055663
LRMC-SoftImpute,50,16,70,LRMC_SoftImpute_completed_p50_rep16_seed70.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep16_seed70.csv,True,,15,105,27,15,12,0.2748664461792454,scipy.optimize.nnls,1.2142374164,0.5534375043749189,0.6607999120250811,0.5442098086420665,0.02606641191626832,0.04232235119237804,-0.02447407081574374,0.13499373473612816,0.6188142164840436,0.6693234068772904,0.6831809402181354,0.5796173896748028,0.026262169105497547,0.039958390595906244,-0.024163432931368533,0.08988402285268313,0.635053309476002,0.6035714285714285,0.5976677763084713,0.489351664888653,0.025821715429731773,0.04510340286215608,-0.02486236817121275,0.13499373473612816,0.6243206428425796,0.6453512675927133,0.8170408684936171,0.7571826344606806,0.15785641920796425,0.17818539182987736,-0.1577213317766914,0.2944639723098425,0.8037515782500743,0.5808417997097242,0.6400372530724475,0.6141734570947879,0.15809065108012138,0.1804752709418984,-0.15772133177669134,0.36197629063514447,0.6114143836301766,0.4900787891353929,0.6482624387718747,0.6150847852460681
LRMC-SoftImpute,50,17,71,LRMC_SoftImpute_completed_p50_rep17_seed71.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep17_seed71.csv,True,,15,105,27,15,12,0.26151814903108617,scipy.optimize.nnls,1.2142374164,0.5132831771884125,0.7009542392115875,0.5772793934235639,0.029717998218105075,0.04258817488057984,-0.025961268118947684,0.10084983485119779,0.6912992977541684,0.5094686350705383,0.6874719512825362,0.6608147146937458,0.03256977339521834,0.045314738160214287,-0.029927767423416293,0.09198681869221077,0.5693182664999893,0.2642857142857143,0.6777840244894795,0.6068833374719182,0.02615327924671351,0.03891222906839751,-0.021003143988361932,0.10084983485119779,0.7699045475311902,0.5070548269468791,0.7048887537428318,0.7669052404245352,0.15806535720851925,0.17495524572895055,-0.15768763198940447,0.25992925988464016,0.9344522002295927,0.8904312668463611,0.6284346530151221,0.6149863741415775,0.15799872275275273,0.1768484724595122,-0.15768763198940447,0.3057023209291717,0.74925712813681,0.6910014513788099,0.635235073765825,0.614727118836883
LRMC-SoftImpute,50,18,72,LRMC_SoftImpute_completed_p50_rep18_seed72.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep18_seed72.csv,True,,15,105,27,15,12,0.2744505425941456,scipy.optimize.nnls,1.2142374164,0.48122446635082106,0.733012950049179,0.6036817348475665,0.03004234208611956,0.04149951353589356,-0.027148627779599224,0.11722575982055375,0.740683519336694,0.6761334987176608,0.6698984313790425,0.6680268828563403,0.03260382709613213,0.04253292078523208,-0.03188802484380431,0.09376757227413027,0.7742634690760564,0.6285714285714286,0.6361756769107305,0.6075178713206206,0.02684048582360385,0.04017038666987218,-0.02122438144934285,0.11722575982055375,0.6712784781295893,0.5635819429942979,0.7276800757757249,0.7870565308267756,0.15672158320402768,0.1732065039119442,-0.15672158320402768,0.26747661810533824,0.9032031040460906,0.8196143479162347,0.6221532182836024,0.609758139965016,0.15679471476468174,0.1754376454610907,-0.15679471476468174,0.3476970978668499,0.7393333072617404,0.7107816711590296,0.6301674201980608,0.6100426736168941
LRMC-SoftImpute,50,19,73,LRMC_SoftImpute_completed_p50_rep19_seed73.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep19_seed73.csv,True,,15,105,27,15,12,0.30113533879321164,scipy.optimize.nnls,1.2142374164,0.4935831158701584,0.7206543005298416,0.5935036186468826,0.02748133096413481,0.04011701290292184,-0.026690900019623768,0.10825715083764534,0.8193318637894457,0.7177008534859877,0.6475816636268793,0.6110797822649272,0.03036445524583365,0.042967016276062774,-0.029730420855844705,0.10825715083764534,0.7430591005818248,0.6321428571428571,0.6426685531963158,0.5657909165193529,0.02387742561201125,0.03624068873497566,-0.022891498974347585,0.08356804810531498,0.8790465496558908,0.5365842000209077,0.6564942314735119,0.7001692849664176,0.16029941002069764,0.17764841502817538,-0.16029941002069764,0.2598684949426394,0.909894020382942,0.8319718017831225,0.6381084464873763,0.6236784244609269,0.16047079581101129,0.18035667229001617,-0.16029941002069759,0.3274714846756061,0.6855320644961453,0.6468899025502799,0.6478364355255408,0.6243452367696185
LRMC-SoftImpute,50,20,74,LRMC_SoftImpute_completed_p50_rep20_seed74.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep20_seed74.csv,True,,15,105,27,15,12,0.30621493022224733,scipy.optimize.nnls,1.2142374164,0.559144288894416,0.655093127505584,0.539509916806731,0.029099717098277664,0.04501585029405395,-0.024262708426132738,0.14687429552588163,0.4579735032368758,0.4729239772451398,0.7266602648992048,0.6470665053156872,0.027369756044319894,0.039533812488208295,-0.021693489459479447,0.09380270774707566,0.6056481189386499,0.5928571428571427,0.5913172539347528,0.5099896978837335,0.03126216841572489,0.05104710900238628,-0.027474232134449352,0.14687429552588163,0.142993557462578,-0.0037323307483066084,0.9247101466127444,0.9167156653239418,0.16386828069154777,0.187639898507802,-0.1633372401898486,0.32015476282892225,0.5981444322739555,0.3865643790172092,0.6739975930371929,0.6375638631959367,0.164743803537468,0.19044611139369788,-0.16350676971666772,0.3615031041334744,0.4086659014275348,0.32916234708687536,0.6840774361072697,0.6409702681792899
