method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
NJstar-STRICT,30,26,80,NJstar_STRICT_completed_p30_rep26_seed80.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep26_seed80.csv,0.3047619047619048,105,32,73,0,32,0.0246469407158015,0.0142791282931056,0.913446182946679,0.8874633431085044,0.0113512469999932,True,True,True,13,13,0.024534976107281,1.2303708393636452,0.0,0.0,missing_p30_rep26_seed80.csv,NJstar_STRICT_completed_p30_rep26_seed80.csv,
NJstar-STRICT,30,27,81,NJstar_STRICT_completed_p30_rep27_seed81.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep27_seed81.csv,0.3047619047619048,105,32,73,0,32,0.0030558971791089,0.002545519151838,0.9980720857838786,0.9827712609970674,0.0088485179999224,True,True,True,13,13,0.0201271082091193,0.9894192253876422,0.0,0.0,missing_p30_rep27_seed81.csv,NJstar_STRICT_completed_p30_rep27_seed81.csv,
NJstar-STRICT,30,28,82,NJstar_STRICT_completed_p30_rep28_seed82.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep28_seed82.csv,0.3047619047619048,105,32,73,0,32,0.0215894692825103,0.0129239002091985,0.9250903829169126,0.8706011730205279,0.0086343469999974,True,True,True,13,13,0.0235475199405185,1.1890301620902746,0.0,0.0,missing_p30_rep28_seed82.csv,NJstar_STRICT_completed_p30_rep28_seed82.csv,
NJstar-STRICT,30,29,83,NJstar_STRICT_completed_p30_rep29_seed83.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep29_seed83.csv,0.3047619047619048,105,32,73,0,32,0.0081489496616769,0.0043252630727367,0.9906545313971394,0.9820381231671552,0.008245947999967,True,True,True,13,13,0.0212537949600362,1.0628545817242707,0.0,0.0,missing_p30_rep29_seed83.csv,NJstar_STRICT_completed_p30_rep29_seed83.csv,
NJstar-STRICT,30,30,84,NJstar_STRICT_completed_p30_rep30_seed84.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep30_seed84.csv,0.3047619047619048,105,32,73,0,32,0.0253359247673589,0.013140863837631,0.8942200488104278,0.8306451612903225,0.0087586059999011,True,True,True,13,13,0.0206251840919884,1.0567039972218035,0.0,0.0,missing_p30_rep30_seed84.csv,NJstar_STRICT_completed_p30_rep30_seed84.csv,
NJstar-STRICT,50,2,56,NJstar_STRICT_completed_p50_rep02_seed56.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep02_seed56.csv,0.4952380952380952,105,52,53,0,52,0.0291418932079421,0.0175306363836743,0.9165987732255274,0.946384359258943,0.0077058399999714,True,True,True,13,13,0.0224875776855022,1.1027955902972948,0.0,0.0,missing_p50_rep02_seed56.csv,NJstar_STRICT_completed_p50_rep02_seed56.csv,
NJstar-STRICT,50,5,59,NJstar_STRICT_completed_p50_rep05_seed59.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep05_seed59.csv,0.4952380952380952,105,52,53,0,52,0.0215360192782094,0.0092355780982215,0.924800912630873,0.8872193289507384,0.0069485159999658,True,True,True,13,13,0.0200356925562761,0.98992004836491,0.0,0.0,missing_p50_rep05_seed59.csv,NJstar_STRICT_completed_p50_rep05_seed59.csv,
NJstar-STRICT,50,6,60,NJstar_STRICT_completed_p50_rep06_seed60.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep06_seed60.csv,0.4952380952380952,105,52,53,0,52,0.0189053621089146,0.0121947307953772,0.9327384515923912,0.8830359429693503,0.0105404100002033,True,True,True,13,13,0.0300590545590967,1.6808198978924136,0.0,0.0,missing_p50_rep06_seed60.csv,NJstar_STRICT_completed_p50_rep06_seed60.csv,
NJstar-STRICT,50,7,61,NJstar_STRICT_completed_p50_rep07_seed61.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep07_seed61.csv,0.4952380952380952,105,52,53,0,52,0.029810390497967,0.0213863563058052,0.8655011896745458,0.8992572355502433,0.0073120039999139,True,True,True,13,13,0.0352503173925972,1.8730263049538012,0.0,0.0,missing_p50_rep07_seed61.csv,NJstar_STRICT_completed_p50_rep07_seed61.csv,
NJstar-STRICT,50,8,62,NJstar_STRICT_completed_p50_rep08_seed62.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep08_seed62.csv,0.4952380952380952,105,52,53,0,52,0.0415806323012199,0.0230559840118343,0.8155282282025809,0.8583625032015708,0.0071413189998565,True,True,True,13,13,0.0449497795137946,2.608100077760932,0.0,0.0,missing_p50_rep08_seed62.csv,NJstar_STRICT_completed_p50_rep08_seed62.csv,
NJstar-STRICT,50,9,63,NJstar_STRICT_completed_p50_rep09_seed63.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep09_seed63.csv,0.4952380952380952,105,52,53,0,52,0.0267658433759573,0.0177756212674112,0.8940096833257987,0.8508494834798941,0.0079970629999479,True,True,True,13,13,0.0334749890170183,1.872565001981452,0.0,0.0,missing_p50_rep09_seed63.csv,NJstar_STRICT_completed_p50_rep09_seed63.csv,
NJstar-STRICT,50,12,66,NJstar_STRICT_completed_p50_rep12_seed66.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep12_seed66.csv,0.4952380952380952,105,52,53,0,52,0.0178209300580696,0.0088014277699782,0.9654169172159512,0.985400836677196,0.0068969689998539,True,True,True,13,13,0.0174051424865832,0.8433885670833005,0.0,0.0,missing_p50_rep12_seed66.csv,NJstar_STRICT_completed_p50_rep12_seed66.csv,
NJstar-STRICT,50,13,67,NJstar_STRICT_completed_p50_rep13_seed67.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep13_seed67.csv,0.4952380952380952,105,52,53,0,52,0.0511073208904032,0.0294231885647008,0.6760367788984015,0.7895500725689406,0.0074608050001643,True,True,True,13,13,0.0279413715337592,1.425358297877605,0.0,0.0,missing_p50_rep13_seed67.csv,NJstar_STRICT_completed_p50_rep13_seed67.csv,
NJstar-STRICT,50,14,68,NJstar_STRICT_completed_p50_rep14_seed68.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep14_seed68.csv,0.4952380952380952,105,52,53,0,52,0.0328920005293796,0.0160011326714557,0.860926431749224,0.8803893110219414,0.0069233649999205,True,True,True,13,13,0.0224661532456885,1.1192060775491666,0.0,0.0,missing_p50_rep14_seed68.csv,NJstar_STRICT_completed_p50_rep14_seed68.csv,
NJstar-STRICT,50,15,69,NJstar_STRICT_completed_p50_rep15_seed69.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep15_seed69.csv,0.4952380952380952,105,52,53,0,52,0.0191953400724662,0.0077641790807608,0.9364320767795704,0.939554341330146,0.0072299470000416,True,True,True,13,13,0.0205899554938362,1.0212542666118494,0.0,0.0,missing_p50_rep15_seed69.csv,NJstar_STRICT_completed_p50_rep15_seed69.csv,
NJstar-STRICT,50,17,71,NJstar_STRICT_completed_p50_rep17_seed71.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep17_seed71.csv,0.4952380952380952,105,52,53,0,52,0.0326709551246103,0.0242693530219539,0.8447806034743498,0.8143088875608299,0.0070572969998465,True,True,True,13,13,0.0638007473668536,5.226970232469754,0.0,0.0,missing_p50_rep17_seed71.csv,NJstar_STRICT_completed_p50_rep17_seed71.csv,
NJstar-STRICT,50,18,72,NJstar_STRICT_completed_p50_rep18_seed72.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep18_seed72.csv,0.4952380952380952,105,52,53,0,52,0.034059105625932,0.0232126010563921,0.8206899198898137,0.8243831640058055,0.0067409190000944,True,True,True,13,13,0.0515096972349162,3.221167788534192,0.0,0.0,missing_p50_rep18_seed72.csv,NJstar_STRICT_completed_p50_rep18_seed72.csv,
NJstar-STRICT,50,19,73,NJstar_STRICT_completed_p50_rep19_seed73.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep19_seed73.csv,0.4952380952380952,105,52,53,0,52,0.0257837684339257,0.0145266902547049,0.9010416906477052,0.9275164347306412,0.0070532759998513,True,True,True,13,13,0.0212079167368504,1.0581977033455898,0.0,0.0,missing_p50_rep19_seed73.csv,NJstar_STRICT_completed_p50_rep19_seed73.csv,
