method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,Delta_init,Delta_final,Delta_reduction_percent,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,n_weighted_lsq_fits,n_graft_evaluations,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,masked_file,__metadata_scope,__metadata_source
MW-proj,30,21,75,MWproj_completed_p30_rep21_seed75.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep21_seed75.csv,0.3047619047619048,105,32,73,27,15.277067937000538,0.0020834059279214,0.0014840689906213,0.9987632801180508,0.9835043988269794,294.5093107721874,58.73568584281044,80.05642480748446,58.73568584281044,0.0219319292008755,0.1290894194347482,1.0036178145301786,0.0,0.0,0.0001234855041603,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep21_seed75.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,22,76,MWproj_completed_p30_rep22_seed76.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep22_seed76.csv,0.3047619047619048,105,32,73,27,18.247443083004327,0.0019407922113623,0.0014649733586488,0.998773101609872,0.9692082111436948,256.8207989741299,54.82104161145621,78.65397123969758,54.82104161145621,0.0207935422187793,0.1204858057394642,0.9367282118676806,0.0,0.0,0.0001184185340764,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep22_seed76.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,23,77,MWproj_completed_p30_rep23_seed77.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep23_seed77.csv,0.3047619047619048,105,32,73,27,15.785884179000275,0.0103197519915856,0.0028357612480238,0.9700027609880262,0.9824046920821112,166.45800859273305,54.39920041359979,67.31956553277264,54.39920041359979,0.0212260395031981,0.1195586822276918,0.9295202030567428,0.0,0.0,0.0001176158568242,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep23_seed77.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,24,78,MWproj_completed_p30_rep24_seed78.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep24_seed78.csv,0.3047619047619048,105,32,73,27,16.37618166799075,0.0253411247915346,0.0099519236394615,0.809820811928854,0.847140762463343,210.0648591992606,47.76726204407985,77.26070784701339,47.76726204407985,0.0184924661627448,0.1049829935034721,0.8162001422281493,0.0,0.0,0.0001168420203206,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep24_seed78.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,25,79,MWproj_completed_p30_rep25_seed79.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep25_seed79.csv,0.3047619047619048,105,32,73,27,13.217927778998272,0.0124654724648834,0.0044762291594502,0.9588778123393028,0.9798387096774192,121.39583046021724,31.595216795948215,73.97339210402097,31.595216795948215,0.0139690137925711,0.0694400369141719,0.539868088289943,0.0,0.0,0.000139034057051,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep25_seed79.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,26,80,MWproj_completed_p30_rep26_seed80.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep26_seed80.csv,0.3047619047619048,105,32,73,27,14.39511834300356,0.0133954520203659,0.0056282635999698,0.9674095094758186,0.9193548387096774,202.8999485947712,45.55837282570191,77.54638523014592,45.55837282570191,0.0189388929605354,0.1001282919246195,0.7784568088852715,0.0,0.0,0.0024763407143673,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep26_seed80.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,27,81,MWproj_completed_p30_rep27_seed81.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep27_seed81.csv,0.3047619047619048,105,32,73,27,15.515787172000271,0.0013842980626685,0.0011317773987978,0.9991239637189182,0.9582111436950146,284.1918381543192,51.1596733132485,81.99819050205507,51.1596733132485,0.019856008236372,0.1124388424467,0.8741663400361099,0.0,0.0,0.0001610158348469,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep27_seed81.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,28,82,MWproj_completed_p30_rep28_seed82.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep28_seed82.csv,0.3047619047619048,105,32,73,27,17.26222599000903,0.019341042643895,0.0059272813769433,0.8536161839869217,0.8368768328445746,321.4781579325246,58.22798279653976,81.88742178597361,58.22798279653976,0.0218206969417534,0.1279735885638236,0.9949426826334962,0.0,0.0,0.0001343760432325,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep28_seed82.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,29,83,MWproj_completed_p30_rep29_seed83.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep29_seed83.csv,0.3047619047619048,105,32,73,27,12.926099056989187,0.0115599386289625,0.0034893949124459,0.946341925211822,0.9516129032258064,327.3766301659299,58.207590472549,82.21999217138784,58.207590472549,0.0222884862375522,0.1279287702693384,0.9945942385940144,0.0,0.0,0.0001337644812175,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep29_seed83.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,30,84,MWproj_completed_p30_rep30_seed84.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep30_seed84.csv,0.3047619047619048,105,32,73,27,18.61393793200841,0.0038106855631468,0.002033437663538,0.9947504045885072,0.939149560117302,412.9545892956023,35.03613391895913,91.51574172387282,35.03613391895913,0.0152788943644227,0.0770024921295805,0.5986631065726553,0.0,0.0,0.0001200741530983,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep30_seed84.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,1,55,MWproj_completed_p50_rep01_seed55.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep01_seed55.csv,0.4952380952380952,105,52,53,27,11.849043661000906,0.018525886505606,0.0058587812255242,0.8821308046106373,0.827712797746094,328.33199877054994,39.78748070280342,87.88193631696303,39.78748070280342,0.01692001047711,0.0874450125336338,0.6798494621391579,0.0,0.0,0.0001329512338948,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep01_seed55.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
