method,pct_missing,replicate,mask_seed,file,edge_id,edge_type,edge_descendant_count,branch_length_ref_ML,branch_length_hat_from_completed_matrix,branch_length_error,branch_length_abs_error
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,terminal:T13,terminal,1,0.32149,0.12247695290035107,-0.19901304709964893,0.19901304709964893
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,internal:T14|T15,internal,2,0.07113,0.006186029353890799,-0.0649439706461092,0.0649439706461092
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,terminal:T14,terminal,1,0.34439,0.1224181312527505,-0.22197186874724947,0.22197186874724947
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,terminal:T15,terminal,1,0.24256,0.11345366052939197,-0.129106339470608,0.129106339470608
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,terminal:T1,terminal,1,0.05696,0.042485361248101136,-0.01447463875189886,0.01447463875189886
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,internal:T2|T3,internal,2,0.03472,0.022765656257380053,-0.011954343742619947,0.011954343742619947
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,terminal:T2,terminal,1,0.02433,0.021086197879479,-0.003243802120521,0.003243802120521
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,terminal:T3,terminal,1,0.02231,0.01994595102069015,-0.002364048979309849,0.002364048979309849
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,internal:T1|T2|T3,internal,3,0.01863,0.008392729624003116,-0.010237270375996884,0.010237270375996884
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,terminal:T4,terminal,1,0.07771,0.05389210638301911,-0.02381789361698089,0.02381789361698089
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,internal:T1|T2|T3|T4,internal,4,0.04682,0.018763135001841836,-0.028056864998158165,0.028056864998158165
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,terminal:T5,terminal,1,0.12997,0.07628677795974657,-0.05368322204025343,0.05368322204025343
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,internal:T1|T2|T3|T4|T5,internal,5,0.03057,0.008741744842691147,-0.02182825515730885,0.02182825515730885
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,terminal:T6,terminal,1,0.14605,0.08446418151119017,-0.06158581848880984,0.06158581848880984
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,internal:T1|T2|T3|T4|T5|T6,internal,6,0.0721,0.020513930996399712,-0.051586069003600285,0.051586069003600285
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,internal:T10|T7|T8|T9,internal,4,0.08603,0.005323874594191227,-0.08070612540580877,0.08070612540580877
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,internal:T7|T8|T9,internal,3,0.05128,0.0005023120676436113,-0.05077768793235639,0.05077768793235639
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,internal:T7|T8,internal,2,0.02354,0.029719294070872745,0.006179294070872747,0.006179294070872747
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,terminal:T7,terminal,1,0.11573,0.07042815420494349,-0.045301845795056514,0.045301845795056514
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,terminal:T8,terminal,1,0.11535,0.0765735376303845,-0.03877646236961549,0.03877646236961549
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,terminal:T9,terminal,1,0.12153,0.10261606961296946,-0.018913930387030542,0.018913930387030542
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,terminal:T10,terminal,1,0.18189,0.10778003860775465,-0.07410996139224535,0.07410996139224535
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,internal:T11|T12|T13|T14|T15,internal,5,0.11651,0.024306609724937343,-0.09220339027506266,0.09220339027506266
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,internal:T11|T12,internal,2,0.22637,0.001659169854756352,-0.22471083014524362,0.22471083014524362
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,terminal:T11,terminal,1,0.16094,0.12817393133183794,-0.03276606866816206,0.03276606866816206
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,terminal:T12,terminal,1,0.14942,0.12513246102672188,-0.024287538973278122,0.024287538973278122
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,internal:T13|T14|T15,internal,3,0.18561,0.023867205240868963,-0.16174279475913103,0.16174279475913103
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,terminal:T13,terminal,1,0.32149,0.11888732039108385,-0.20260267960891615,0.20260267960891615
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,internal:T14|T15,internal,2,0.07113,0.005902999628638401,-0.0652270003713616,0.0652270003713616
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,terminal:T14,terminal,1,0.34439,0.1220044016762208,-0.2223855983237792,0.2223855983237792
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,terminal:T15,terminal,1,0.24256,0.11386739010592165,-0.12869260989407835,0.12869260989407835
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,terminal:T1,terminal,1,0.05696,0.04186478161198293,-0.015095218388017063,0.015095218388017063
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,internal:T2|T3,internal,2,0.03472,0.023468449015440845,-0.011251550984559155,0.011251550984559155
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,terminal:T2,terminal,1,0.02433,0.020770554025206812,-0.0035594459747931885,0.0035594459747931885
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,terminal:T3,terminal,1,0.02231,0.020261594874962357,-0.002048405125037643,0.002048405125037643
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,internal:T1|T2|T3,internal,3,0.01863,0.008370644936926722,-0.010259355063073279,0.010259355063073279
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,terminal:T4,terminal,1,0.07771,0.05367442997328345,-0.024035570026716552,0.024035570026716552
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,internal:T1|T2|T3|T4,internal,4,0.04682,0.02107214067803801,-0.02574785932196199,0.02574785932196199
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,terminal:T5,terminal,1,0.12997,0.07781601739328918,-0.05215398260671082,0.05215398260671082
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,internal:T1|T2|T3|T4|T5,internal,5,0.03057,0.006459937823107005,-0.024110062176892995,0.024110062176892995
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,terminal:T6,terminal,1,0.14605,0.08462565093302556,-0.06142434906697446,0.06142434906697446
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,internal:T1|T2|T3|T4|T5|T6,internal,6,0.0721,0.02123826634921445,-0.05086173365078554,0.05086173365078554
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,internal:T10|T7|T8|T9,internal,4,0.08603,0.01645395286787458,-0.06957604713212542,0.06957604713212542
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,internal:T7|T8|T9,internal,3,0.05128,0.014505385503701973,-0.03677461449629803,0.03677461449629803
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,internal:T7|T8,internal,2,0.02354,0.0049958679485740546,-0.018544132051425945,0.018544132051425945
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,terminal:T7,terminal,1,0.11573,0.0716984832190746,-0.0440315167809254,0.0440315167809254
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,terminal:T8,terminal,1,0.11535,0.07530320861625335,-0.040046791383746644,0.040046791383746644
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,terminal:T9,terminal,1,0.12153,0.07551062081473317,-0.04601937918526683,0.04601937918526683
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,terminal:T10,terminal,1,0.18189,0.09671345210281625,-0.08517654789718375,0.08517654789718375
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,internal:T11|T12|T13|T14|T15,internal,5,0.11651,0.021494675896131674,-0.09501532410386833,0.09501532410386833
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,internal:T11|T12,internal,2,0.22637,0.004662190441573692,-0.22170780955842628,0.22170780955842628
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,terminal:T11,terminal,1,0.16094,0.1265746678594178,-0.03436533214058221,0.03436533214058221
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,terminal:T12,terminal,1,0.14942,0.12351716512699093,-0.025902834873009067,0.025902834873009067
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,internal:T13|T14|T15,internal,3,0.18561,0.02216007269898314,-0.16344992730101685,0.16344992730101685
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,terminal:T13,terminal,1,0.32149,0.12157097716579235,-0.19991902283420765,0.19991902283420765
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,internal:T14|T15,internal,2,0.07113,0.00709200508844956,-0.06403799491155043,0.06403799491155043
