method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,n_neighbors_requested,n_neighbors_effective,knn_weights,knn_metric,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
KNN-Impute,30,24,78,KNNimpute_completed_p30_rep24_seed78.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep24_seed78.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0573774837174815,0.0514636016863633,0.9249098495176704,0.7950879765395894,0.0021122460000242,True,True,True,0,0,0.0,0.0,missing_p30_rep24_seed78.csv,KNNimpute_completed_p30_rep24_seed78.csv,
KNN-Impute,30,25,79,KNNimpute_completed_p30_rep25_seed79.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep25_seed79.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0597455349241528,0.048434862851749,0.8048102365653483,0.7686950146627565,0.0027921970001898,True,True,True,0,0,0.0,0.0,missing_p30_rep25_seed79.csv,KNNimpute_completed_p30_rep25_seed79.csv,
KNN-Impute,30,26,80,KNNimpute_completed_p30_rep26_seed80.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep26_seed80.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0608149319559453,0.0514600413243378,0.8488091368320205,0.721774193548387,0.0021852569998372,True,True,True,0,0,0.0,0.0,missing_p30_rep26_seed80.csv,KNNimpute_completed_p30_rep26_seed80.csv,
KNN-Impute,30,27,81,KNNimpute_completed_p30_rep27_seed81.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep27_seed81.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0634039878217121,0.0576700365215958,0.827392124258474,0.7716275659824047,0.002554481000061,True,True,True,0,0,0.0,0.0,missing_p30_rep27_seed81.csv,KNNimpute_completed_p30_rep27_seed81.csv,
KNN-Impute,30,28,82,KNNimpute_completed_p30_rep28_seed82.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep28_seed82.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0665119051925709,0.0537759903978669,0.7995521175896987,0.7774926686217009,0.0025513020000289,True,True,True,0,0,0.0,0.0,missing_p30_rep28_seed82.csv,KNNimpute_completed_p30_rep28_seed82.csv,
KNN-Impute,30,29,83,KNNimpute_completed_p30_rep29_seed83.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep29_seed83.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0624625009841128,0.0566550685445171,0.8344005998658299,0.7001466275659822,0.0023378519999823,True,True,True,0,0,0.0,0.0,missing_p30_rep29_seed83.csv,KNNimpute_completed_p30_rep29_seed83.csv,
KNN-Impute,30,30,84,KNNimpute_completed_p30_rep30_seed84.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep30_seed84.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0621354888632154,0.0504914026360044,0.831420795407568,0.8310117302052785,0.0021225329999197,True,True,True,0,0,0.0,0.0,missing_p30_rep30_seed84.csv,KNNimpute_completed_p30_rep30_seed84.csv,
KNN-Impute,50,1,55,KNNimpute_completed_p50_rep01_seed55.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep01_seed55.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0661261617419464,0.0554696218792989,0.7298411859479813,0.7432767011013405,0.0021139559999028,True,True,True,0,0,0.0,0.0,missing_p50_rep01_seed55.csv,KNNimpute_completed_p50_rep01_seed55.csv,
KNN-Impute,50,2,56,KNNimpute_completed_p50_rep02_seed56.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep02_seed56.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0684229266808591,0.0605616093759043,0.8568533141562081,0.500042687612055,0.006776813999977,True,True,True,0,0,0.0,0.0,missing_p50_rep02_seed56.csv,KNNimpute_completed_p50_rep02_seed56.csv,
KNN-Impute,50,3,57,KNNimpute_completed_p50_rep03_seed57.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep03_seed57.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0703130337831495,0.0542180481111734,0.7739115408034627,0.7330316742081447,0.0022417109998968,True,True,True,0,0,0.0,0.0,missing_p50_rep03_seed57.csv,KNNimpute_completed_p50_rep03_seed57.csv,
