method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,masked_file,__metadata_scope,__metadata_source,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,Delta_init,Delta_final,Delta_reduction_percent,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed
Hyb-Adam-UM,30,24,78,HybAdamUM_completed_p30_rep24_seed78.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep24_seed78.csv,0.3047619047619048,105,32,73,missing_p30_rep24_seed78.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.620816786999967,0.0243116039364268,0.0101224368514223,0.9425853236534028,0.9560117302052784,98.30031926574507,34.53473887901353,64.86813152086279,34.53473887901353,0.015262097768766,0.0759005250088209,0.7387835474769541,0.0,0.0
Hyb-Adam-UM,30,25,79,HybAdamUM_completed_p30_rep25_seed79.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep25_seed79.csv,0.3047619047619048,105,32,73,missing_p30_rep25_seed79.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.56295021799997,0.0153376749842011,0.0062797792072928,0.9580587164767872,0.9538123167155425,104.49091657669145,34.90309321858318,66.59700731693175,34.90309321858318,0.0153211409189569,0.076710094985897,0.746663558577347,0.0,0.0
Hyb-Adam-UM,30,26,80,HybAdamUM_completed_p30_rep26_seed80.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep26_seed80.csv,0.3047619047619048,105,32,73,missing_p30_rep26_seed80.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.68736005300002,0.0207649212813826,0.0086368087223991,0.9418349843897224,0.9505131964809382,177.8163539458734,36.17236351039139,79.65745967246515,36.17236351039139,0.0159762967298398,0.0794997000228382,0.7738163919077018,0.0,0.0
Hyb-Adam-UM,30,27,81,HybAdamUM_completed_p30_rep27_seed81.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep27_seed81.csv,0.3047619047619048,105,32,73,missing_p30_rep27_seed81.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.30919402200016,0.0044676321781759,0.0036187510854239,0.9957702959645366,0.972140762463343,331.23811294004724,36.80399239801096,88.88896206075407,36.80399239801096,0.0161433687664016,0.0808878953802438,0.7873284972668674,0.0,0.0
Hyb-Adam-UM,30,28,82,HybAdamUM_completed_p30_rep28_seed82.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep28_seed82.csv,0.3047619047619048,105,32,73,missing_p30_rep28_seed82.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.818635735000043,0.0117802047583971,0.0062553720097638,0.9801053476412834,0.9545454545454544,107.09254469574016,34.5996011471976,67.69186758471538,34.5996011471976,0.0153154541304105,0.0760430794443903,0.7401711119451352,0.0,0.0
Hyb-Adam-UM,30,29,83,HybAdamUM_completed_p30_rep29_seed83.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep29_seed83.csv,0.3047619047619048,105,32,73,missing_p30_rep29_seed83.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.605848873000014,0.0173976797277135,0.008723436278424,0.969420902485288,0.9802052785923752,142.32054731396434,37.55033510722683,73.61566139540665,37.55033510722683,0.0158631377698593,0.0825282090268721,0.8032946152178312,0.0,0.0
Hyb-Adam-UM,30,30,84,HybAdamUM_completed_p30_rep30_seed84.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep30_seed84.csv,0.3047619047619048,105,32,73,missing_p30_rep30_seed84.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,32.0,21.50143367599981,0.022954770834418,0.0120220518236494,0.9096508634453316,0.8621700879765395,118.6767853458915,35.15537914331972,70.37720642596022,35.15537914331972,0.0152864729803908,0.0772645695457576,0.7520605789836206,0.0,0.0
Hyb-Adam-UM,50,1,55,HybAdamUM_completed_p50_rep01_seed55.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep01_seed55.csv,0.4952380952380952,105,52,53,missing_p50_rep01_seed55.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,52.0,35.066856417000054,0.0398304798260423,0.0221213002759795,0.8562976683347335,0.8560573721506018,71.38078818446246,20.12312137857606,71.80877111279042,20.12312137857606,0.0089924832163536,0.0442266403924748,0.4304833764765507,0.0,0.0
Hyb-Adam-UM,50,2,56,HybAdamUM_completed_p50_rep02_seed56.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep02_seed56.csv,0.4952380952380952,105,52,53,missing_p50_rep02_seed56.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,52.0,35.02622538200012,0.0300481254185161,0.015114781808856,0.9433336676152104,0.92999231622983,103.57859859024656,22.286238069876703,78.48374242053582,22.286238069876703,0.0099022855064747,0.048980743010718,0.4767577968045653,0.0,0.0
Hyb-Adam-UM,50,3,57,HybAdamUM_completed_p50_rep03_seed57.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep03_seed57.csv,0.4952380952380952,105,52,53,missing_p50_rep03_seed57.csv,method_specific,hyb_adam_um_outputs/tables/hyb_adam_um_all_masks_detailed.csv,52.0,35.03091557800008,0.0218663516791615,0.0127382940281952,0.9190319882102038,0.872022539059165,162.9921642962882,20.75755960435415,87.26468864685978,20.75755960435415,0.0093511838338161,0.0456210101194596,0.4440555805328019,0.0,0.0
