method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,iters_used,epochs_used,convergence_epoch,final_rank,last_rel_change,last_singular_values_json,lrmc_config_json
LRMC-SoftImpute,30,0.3,0.3047619047619048,21,75,105,32,73,32,True,True,True,,missing_p30_rep21_seed75.csv,LRMC_SoftImpute_completed_p30_rep21_seed75.csv,0.014561069998308085,765.7964403023468,0.1294972461244954,1.6830690995655975,13.085178776120623,58.523957020737264,0.022445654481427994,0.05053439941041929,0.043987872060184285,0.7494934272010612,0.6378299120234603,0.0,0.0,347,347,347,9,9.941654901028898e-08,"[1.5335627064789499, 0.46004180210321016, 0.29393681644267916, 0.2253257308164798, 0.1806653692279078, 0.137768930357971, 0.10336053530600527, 0.07421818447785303, 0.037833259441820505, 0.014047516399433729]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300021}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,22,76,105,32,73,32,True,True,True,,missing_p30_rep22_seed76.csv,LRMC_SoftImpute_completed_p30_rep22_seed76.csv,0.04500707901024725,758.5850546897459,0.12946431875212475,1.667219900417024,12.961957688899101,58.523957020737264,0.022445654481427994,0.043781623523774134,0.037778295277711704,0.7905832980966822,0.7111436950146627,0.0,0.0,1087,1087,1087,10,9.949227626924874e-08,"[1.555498599991991, 0.5056516317381874, 0.25335572865906253, 0.18934334673715036, 0.16774539174088954, 0.13973139038696356, 0.1248386853206028, 0.08787795691692622, 0.04317686548425017, 0.03415990702120124]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300022}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,23,77,105,32,73,32,True,True,True,,missing_p30_rep23_seed77.csv,LRMC_SoftImpute_completed_p30_rep23_seed77.csv,0.0144226999982493,628.8831551958323,0.1172234298433544,1.3821607806501808,10.745738791602815,58.523957020737264,0.022445654481427994,0.04735351613817089,0.03754457385966445,0.6774640034536532,0.594941348973607,0.0,0.0,324,324,324,9,9.891788618704445e-08,"[1.5645580061449917, 0.46846816927450136, 0.27921045297514796, 0.2142186986231562, 0.20338342162866005, 0.15827217180828845, 0.106546384106106, 0.06519321462490714, 0.03580256911640978, 0.01717764238104998]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300023}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,24,78,105,32,73,32,True,True,True,,missing_p30_rep24_seed78.csv,LRMC_SoftImpute_completed_p30_rep24_seed78.csv,0.032003978005377576,696.6767459967019,0.11705119697622875,1.531157683509235,11.904129205580594,58.523957020737264,0.022445654481427994,0.04478575910910434,0.03510423062900615,0.7463211813762226,0.782624633431085,0.0,0.0,719,719,719,10,9.991422209026642e-08,"[1.5628210832283855, 0.4956297044561361, 0.3617856293391307, 0.2419725568121721, 0.16336836545989458, 0.0949803336951798, 0.06845097989945519, 0.054554628196643924, 0.04010942110431233, 0.023166385172649597]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300024}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,25,79,105,32,73,32,True,True,True,,missing_p30_rep25_seed79.csv,LRMC_SoftImpute_completed_p30_rep25_seed79.csv,0.015234741003951058,717.1920715785265,0.12499867519645463,1.5762463111615965,12.254674975658226,58.523957020737264,0.022445654481427994,0.058811771930015515,0.05034541758379625,0.46842062791190153,0.3885630498533724,0.0,0.0,386,386,386,8,9.969629507309081e-08,"[1.521956794004515, 0.49206639062186225, 0.3152085644162133, 0.2170425534248357, 0.18785620628661706, 0.1691232229349132, 0.056096717923416244, 0.04189205513603787, 0.015952455263065587, 0.014095195353439527]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300025}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,26,80,105,32,73,32,True,True,True,,missing_p30_rep26_seed80.csv,LRMC_SoftImpute_completed_p30_rep26_seed80.csv,0.012888600991573185,1141.2085912792359,0.12661665918639295,2.508150750064255,19.499853553560335,58.523957020737264,0.022445654481427994,0.05432424125570044,0.04014613885949412,0.6324654530838676,0.47800586510263926,0.0,0.0,325,325,325,8,9.902611574233062e-08,"[1.5398234638947805, 0.5152358235757593, 0.3060928587753319, 0.22789305691491954, 0.20098513769091508, 0.11044493114400725, 0.0708950825292901, 0.0526793031713216, 0.01944744972137898, 0.016202604769633335]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300026}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,27,81,105,32,73,32,True,True,True,,missing_p30_rep27_seed81.csv,LRMC_SoftImpute_completed_p30_rep27_seed81.csv,0.02046435400552582,926.4747434189085,0.14272425462964586,2.0362082272943045,15.830692088893157,58.523957020737264,0.022445654481427994,0.06576638872718446,0.054919703062044606,0.07567932683842386,-0.028958944281524925,0.0,0.0,540,540,540,10,9.91017466491026e-08,"[1.5001234923834927, 0.44971428068562863, 0.3175081289189601, 0.1823964764478942, 0.17250236088594512, 0.1463207742658409, 0.09188003667949861, 0.0606728071980229, 0.04107430315292494, 0.023845831922003142]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300027}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,28,82,105,32,73,32,True,True,True,,missing_p30_rep28_seed82.csv,LRMC_SoftImpute_completed_p30_rep28_seed82.csv,0.017934262999915518,713.011408441773,0.1386788624738022,1.5670580405313692,12.183239902748305,58.523957020737264,0.022445654481427994,0.06113517084146782,0.05266190574197867,0.34613659793859697,0.1854838709677419,0.0,0.0,415,415,415,9,9.90987960778834e-08,"[1.5028471076963574, 0.4691607967927294, 0.3194412485004411, 0.3030816524425945, 0.17430862031232425, 0.10292221091918749, 0.06256893217711663, 0.03858749802568257, 0.025970932826898097, 0.010497361469316305]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300028}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,29,83,105,32,73,32,True,True,True,,missing_p30_rep29_seed83.csv,LRMC_SoftImpute_completed_p30_rep29_seed83.csv,0.03274165700713638,779.8844340691078,0.12938540080860547,1.7140317232288083,13.325900601573558,58.523957020737264,0.022445654481427994,0.051880178421295574,0.044828980232815036,0.3582379974153196,0.2624633431085044,0.0,0.0,756,756,756,10,9.89890932912208e-08,"[1.5537627895588562, 0.4401265771862682, 0.249187094339886, 0.2333129831624694, 0.19672302805445066, 0.15514999522992104, 0.1255692789161078, 0.05543504842689433, 0.051246053906292194, 0.02570572116213634]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300029}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,30,84,105,32,73,32,True,True,True,,missing_p30_rep30_seed84.csv,LRMC_SoftImpute_completed_p30_rep30_seed84.csv,0.01685243399697356,697.9492248531942,0.12848960994300687,1.5339543403366906,11.925872076727215,58.523957020737264,0.022445654481427994,0.04937597817900535,0.04186047783351792,0.6188388503360076,0.4270527859237536,0.0,0.0,391,391,391,9,9.899408550546524e-08,"[1.5394454549056749, 0.4428844495257029, 0.3201607280463802, 0.27087920800839194, 0.17659844566319008, 0.12734540100621985, 0.07901819027570597, 0.06283819186052811, 0.031192110583195834, 0.018148585443467286]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300030}"
