method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
MW-proj,30,25,79,MWproj_completed_p30_rep25_seed79.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep25_seed79.csv,0.3047619047619048,105,32,73,27,0.0124654724648834,0.0044762291594502,0.9588778123393028,0.9798387096774192,13.217927778998272,True,True,True,0,0,0.0139690137925711,0.539868088289943,0.0,0.0,missing_p30_rep25_seed79.csv,MWproj_completed_p30_rep25_seed79.csv,
MW-proj,30,26,80,MWproj_completed_p30_rep26_seed80.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep26_seed80.csv,0.3047619047619048,105,32,73,27,0.0133954520203659,0.0056282635999698,0.9674095094758186,0.9193548387096774,14.39511834300356,True,True,True,0,0,0.0189388929605354,0.7784568088852715,0.0,0.0,missing_p30_rep26_seed80.csv,MWproj_completed_p30_rep26_seed80.csv,
MW-proj,30,27,81,MWproj_completed_p30_rep27_seed81.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep27_seed81.csv,0.3047619047619048,105,32,73,27,0.0013842980626685,0.0011317773987978,0.9991239637189182,0.9582111436950146,15.515787172000271,True,True,True,0,0,0.019856008236372,0.8741663400361099,0.0,0.0,missing_p30_rep27_seed81.csv,MWproj_completed_p30_rep27_seed81.csv,
MW-proj,30,28,82,MWproj_completed_p30_rep28_seed82.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep28_seed82.csv,0.3047619047619048,105,32,73,27,0.019341042643895,0.0059272813769433,0.8536161839869217,0.8368768328445746,17.26222599000903,True,True,True,0,0,0.0218206969417534,0.9949426826334962,0.0,0.0,missing_p30_rep28_seed82.csv,MWproj_completed_p30_rep28_seed82.csv,
MW-proj,30,29,83,MWproj_completed_p30_rep29_seed83.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep29_seed83.csv,0.3047619047619048,105,32,73,27,0.0115599386289625,0.0034893949124459,0.946341925211822,0.9516129032258064,12.926099056989187,True,True,True,0,0,0.0222884862375522,0.9945942385940144,0.0,0.0,missing_p30_rep29_seed83.csv,MWproj_completed_p30_rep29_seed83.csv,
MW-proj,30,30,84,MWproj_completed_p30_rep30_seed84.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep30_seed84.csv,0.3047619047619048,105,32,73,27,0.0038106855631468,0.002033437663538,0.9947504045885072,0.939149560117302,18.61393793200841,True,True,True,0,0,0.0152788943644227,0.5986631065726553,0.0,0.0,missing_p30_rep30_seed84.csv,MWproj_completed_p30_rep30_seed84.csv,
MW-proj,50,1,55,MWproj_completed_p50_rep01_seed55.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep01_seed55.csv,0.4952380952380952,105,52,53,27,0.018525886505606,0.0058587812255242,0.8821308046106373,0.827712797746094,11.849043661000906,True,True,True,0,0,0.01692001047711,0.6798494621391579,0.0,0.0,missing_p50_rep01_seed55.csv,MWproj_completed_p50_rep01_seed55.csv,
MW-proj,50,2,56,MWproj_completed_p50_rep02_seed56.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep02_seed56.csv,0.4952380952380952,105,52,53,27,0.0186054568352146,0.0060742707401241,0.8859019231731173,0.7614616238367625,13.123496934000286,True,True,True,0,0,0.0162962294914018,0.6644381676487218,0.0,0.0,missing_p50_rep02_seed56.csv,MWproj_completed_p50_rep02_seed56.csv,
MW-proj,50,3,57,MWproj_completed_p50_rep03_seed57.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep03_seed57.csv,0.4952380952380952,105,52,53,27,0.0063012655163253,0.0034931069900597,0.9957411911633198,0.9569708870485784,12.40010360800079,True,True,True,0,0,0.0120327008322367,0.4620963705965106,0.0,0.0,missing_p50_rep03_seed57.csv,MWproj_completed_p50_rep03_seed57.csv,
MW-proj,50,4,58,MWproj_completed_p50_rep04_seed58.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep04_seed58.csv,0.4952380952380952,105,52,53,27,0.0184316952335774,0.005922761115627,0.8736044057444546,0.8522154870656535,14.0395663149975,True,True,True,0,0,0.0136895552993382,0.5359086517002961,0.0,0.0,missing_p50_rep04_seed58.csv,MWproj_completed_p50_rep04_seed58.csv,
