,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T13,0.194717958677123,0.1933855622002328,0.1848238392269463,0.2070814123666118,0.1232409030273877,0.1835427211084101,0.1945681051683513,0.22064016958366978,0.2063361586613651,0.1831744859381074,0.1846781395121959,0.198984156058218,0.0,0.0508512504317499,0.18318430344279207,0.20264720391379812,0.16885310991776467,0.1817688949999476,0.1662359367246002,0.16384673754102688,0.1714308485578659,0.17676223623747894,0.1883860037129622,0.16914668027604118,0.1827276458932267,0.1807197751833285,0.17029650478956915,0.1269750466743731,0.18101606133079692,0.17958876383852046
T14,0.16194070334526514,0.1576672420081427,0.14881065661774584,0.1713630921745217,0.10961917578695923,0.1646320528598429,0.16248968691446375,0.2142816798079098,0.15811216242248602,0.1627418950774647,0.1489598193201058,0.16405798986735318,0.0508512504317499,0.0,0.16275171258214938,0.1776718017465237,0.14842051905712197,0.14773072259444509,0.1470428763439203,0.1461772934194708,0.1562490598131381,0.15632964537683625,0.14952613708744508,0.1487140894153985,0.1470093257011366,0.1480077172593522,0.14986391392892645,0.11677508432410885,0.16058347047015423,0.15915617297787776
T15,0.176978420922501,0.0843605988577485,0.12101525003012427,0.17917615094879252,0.16268638026192095,0.18104771649292695,0.1998746253714653,0.2152452963002629,0.12474815698512452,0.1621379586668027,0.1899846597153098,0.204290676261332,0.18318430344279207,0.16275171258214938,0.0,0.2186966421417277,0.11505651361976046,0.1199353160068235,0.11800793927633589,0.15674181890223263,0.1374476477801562,0.17426723162199578,0.1217307304998235,0.12388669752795708,0.12076247122909406,0.1374838381859434,0.11649990849156493,0.16396967718143135,0.13278806388253264,0.1959934854992125
T16,0.19083001330320445,0.1910520570236508,0.1833112746659877,0.18462281881037235,0.182149280732927,0.200510616963933,0.17441368197350754,0.18484268521119246,0.19261278047072788,0.2143241857152928,0.1807544469008947,0.17226076064392223,0.20264720391379812,0.1776718017465237,0.2186966421417277,0.0,0.1852922087464505,0.1794353898233656,0.1804276913594284,0.17791476472862605,0.1896338748286462,0.1923573207344281,0.18402675513568695,0.1923684051787144,0.1830584958649575,0.18250833530759403,0.1880217246977069,0.1788815122917011,0.19508408851839606,0.1883534601195166
T17,0.1666200454849597,0.1054613965798836,0.108183468834284,0.1656869904774419,0.1531296641620018,0.1722524598597697,0.16319621096667217,0.20091410277523547,0.10366243798578975,0.1341979553786622,0.1565802263200326,0.1708862428660548,0.16885310991776467,0.14842051905712197,0.11505651361976046,0.1852922087464505,0.0,0.1056041224817961,0.1036767457513085,0.14241062537720522,0.0831993370340941,0.15993603809696838,0.1073995369747961,0.1095555040029297,0.10643127770406666,0.1040794047906662,0.09541418949223017,0.14963848365640395,0.11845687035750524,0.15986269703008618
T18,0.16195743093479667,0.11003983391544622,0.0925887842497882,0.1641551609610882,0.1472728452389169,0.16602672650522265,0.16250641450399528,0.2002243063125586,0.11529576584716017,0.1341605015761275,0.1507234073969477,0.1640747174568847,0.1817688949999476,0.14773072259444509,0.1199353160068235,0.1794353898233656,0.1056041224817961,0.0,0.09721836566270574,0.14172082891452834,0.109470190689481,0.1592462416342915,0.0760247895966226,0.10886570754025279,0.07537928341613634,0.09942273705810044,0.10704751735360056,0.14894868719372706,0.1000654120840988,0.1591729005674093
T19,0.1617555280979376,0.10811245718495863,0.0969410335088345,0.16222778423060058,0.1482651467749797,0.16409934977473506,0.16057903777350768,0.203741060723808,0.11336838911667255,0.1315807821854977,0.1517157089330105,0.16214734072639708,0.1662359367246002,0.1470428763439203,0.11800793927633589,0.1804276913594284,0.1036767457513085,0.09721836566270574,0.0,0.1397934521840407,0.10625448439140972,0.15731886490380387,0.1005031979948504,0.1069383308097652,0.09804552088497631,0.09749536032761283,0.1088503420946045,0.14702131046323946,0.11007111353841487,0.1572455238369217
T20,0.1608899451734881,0.1462610399995913,0.1428007629378291,0.1598385850470273,0.14334881436015576,0.16171015059116176,0.1607400916647165,0.1848426852111924,0.15210226874256927,0.15673200139754795,0.150966419502152,0.1597581415428238,0.16384673754102688,0.1461772934194708,0.15674181890223263,0.17791476472862605,0.14241062537720522,0.14172082891452834,0.1397934521840407,0.0,0.14498836401730644,0.1624529998420943,0.14351624340752833,0.14270419573548174,0.1425479841367989,0.1419978235794354,0.14385402024900967,0.14463211127966616,0.15457357679023748,0.1548563246533484
T21,0.16522496603757478,0.1077387701684844,0.1092617951451981,0.1700286565596377,0.15093292537699476,0.16929426160800076,0.16577394960677339,0.2034918414153367,0.1019097817724267,0.13677569401876344,0.1609218924022283,0.1752279089482505,0.1714308485578659,0.1562490598131381,0.1374476477801562,0.1896338748286462,0.0831993370340941,0.109470190689481,0.10625448439140972,0.14498836401730644,0.0,0.16251377673706963,0.10997727561489731,0.1111194108171429,0.1090090163441679,0.1084210708728619,0.0979919281323314,0.15221622229650517,0.12103460899760646,0.1669307181861311
T22,0.1736851574729372,0.1643717495306185,0.16032617565759225,0.17565395241140308,0.1617849635846986,0.1646320528598429,0.1735353039641656,0.2305573862305334,0.16962768146233242,0.1742574141173111,0.16678178686652778,0.1721657752804092,0.17676223623747894,0.15632964537683625,0.17426723162199578,0.1923573207344281,0.15993603809696838,0.1592462416342915,0.15731886490380387,0.1624529998420943,0.16251377673706963,0.0,0.1610416561272915,0.1602296084552449,0.1632850321237601,0.15952323629919857,0.16137943296877283,0.1617724036988165,0.1720989895100006,0.17067169201772417
T23,0.16375284542779667,0.11183524840844622,0.09438419874278817,0.1659505754540882,0.14946080476721665,0.16782214099822265,0.16430182899699527,0.2020197208055586,0.1304560780586326,0.1407776102891422,0.1570784099092129,0.1658701319498847,0.1883860037129622,0.14952613708744508,0.1217307304998235,0.18402675513568695,0.1073995369747961,0.0760247895966226,0.1005031979948504,0.14351624340752833,0.10997727561489731,0.1610416561272915,0.0,0.11066112203325279,0.0697697991673878,0.10121815155110042,0.10884293184660056,0.15074410168672703,0.10615701259519655,0.1633493418938651
T24,0.16294079775575007,0.11399121543657982,0.1152596652665479,0.1651385277820416,0.14864875709517006,0.1793286562920336,0.16348978132494868,0.201207673133512,0.1254881894732798,0.1358097217037895,0.1636564227522965,0.1650580842778381,0.16914668027604118,0.1487140894153985,0.12388669752795708,0.1923684051787144,0.1095555040029297,0.10886570754025279,0.1069383308097652,0.14270419573548174,0.1111194108171429,0.1602296084552449,0.11066112203325279,0.0,0.1131634719328283,0.1111556012229301,0.1095072606862036,0.14993205401468046,0.12171845541596193,0.1601562673883627
