method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,objective_improved,error_message,masked_file,completed_file,run_log_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,Delta_init,Delta_final,Delta_reduction_percent,best_epoch,epochs_used,convergence_epoch,final_learning_rate,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,best_start_pair,n_weighted_lsq_fits,n_graft_evaluations,nnls_backend
MW-proj,30,0.3,0.3047619047619048,21,75,105,32,73,27,True,True,True,True,,missing_p30_rep21_seed75.csv,MWproj_completed_p30_rep21_seed75.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep21_seed75.log,15.277067937000538,58.73568584281044,0.02193192920087553,0.12908941943474822,1.0036178145301786,58.523957020737264,0.022445654481427994,0.0020834059279214987,0.0014840689906213075,0.9987632801180507,0.9835043988269794,0.0,0.0,294.5093107721874,58.73568584281044,80.05642480748446,0,0,0,,ultrametric,2,32,0,0.00012348550416036659,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,22,76,105,32,73,27,True,True,True,True,,missing_p30_rep22_seed76.csv,MWproj_completed_p30_rep22_seed76.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep22_seed76.log,18.247443083004327,54.82104161145621,0.020793542218779337,0.1204858057394642,0.9367282118676806,58.523957020737264,0.022445654481427994,0.0019407922113623638,0.0014649733586488578,0.9987731016098721,0.9692082111436949,0.0,0.0,256.8207989741299,54.82104161145621,78.65397123969758,0,0,0,,ultrametric,2,32,0,0.00011841853407641786,105,27,105,"(0, 2)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,23,77,105,32,73,27,True,True,True,True,,missing_p30_rep23_seed77.csv,MWproj_completed_p30_rep23_seed77.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep23_seed77.log,15.785884179000277,54.39920041359979,0.0212260395031981,0.11955868222769185,0.9295202030567429,58.523957020737264,0.022445654481427994,0.010319751991585623,0.0028357612480238506,0.9700027609880262,0.9824046920821112,0.0,0.0,166.45800859273305,54.39920041359979,67.31956553277264,0,0,0,,ultrametric,2,32,0,0.00011761585682424707,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,24,78,105,32,73,27,True,True,True,True,,missing_p30_rep24_seed78.csv,MWproj_completed_p30_rep24_seed78.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep24_seed78.log,16.37618166799075,47.76726204407985,0.018492466162744896,0.10498299350347219,0.8162001422281493,58.523957020737264,0.022445654481427994,0.025341124791534622,0.009951923639461584,0.809820811928854,0.847140762463343,0.0,0.0,210.0648591992606,47.76726204407985,77.26070784701339,0,0,0,,ultrametric,2,32,0,0.00011684202032065384,105,27,105,"(0, 2)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,25,79,105,32,73,27,True,True,True,True,,missing_p30_rep25_seed79.csv,MWproj_completed_p30_rep25_seed79.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep25_seed79.log,13.217927778998273,31.595216795948218,0.01396901379257111,0.0694400369141719,0.539868088289943,58.523957020737264,0.022445654481427994,0.01246547246488341,0.004476229159450269,0.9588778123393029,0.9798387096774193,0.0,0.0,121.39583046021724,31.595216795948218,73.97339210402097,0,0,0,,ultrametric,2,32,0,0.00013903405705107546,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,26,80,105,32,73,27,True,True,True,True,,missing_p30_rep26_seed80.csv,MWproj_completed_p30_rep26_seed80.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep26_seed80.log,14.39511834300356,45.55837282570191,0.018938892960535466,0.10012829192461958,0.7784568088852715,58.523957020737264,0.022445654481427994,0.013395452020365933,0.00562826359996982,0.9674095094758186,0.9193548387096774,0.0,0.0,202.89994859477122,45.55837282570191,77.54638523014592,0,0,0,,ultrametric,2,32,0,0.0024763407143673327,105,27,105,"(4, 5)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,27,81,105,32,73,27,True,True,True,True,,missing_p30_rep27_seed81.csv,MWproj_completed_p30_rep27_seed81.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep27_seed81.log,15.515787172000273,51.1596733132485,0.019856008236372017,0.1124388424467,0.8741663400361099,58.523957020737264,0.022445654481427994,0.0013842980626685378,0.0011317773987978375,0.9991239637189182,0.9582111436950146,0.0,0.0,284.1918381543192,51.1596733132485,81.99819050205507,0,0,0,,ultrametric,2,32,0,0.00016101583484694703,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,28,82,105,32,73,27,True,True,True,True,,missing_p30_rep28_seed82.csv,MWproj_completed_p30_rep28_seed82.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep28_seed82.log,17.26222599000903,58.22798279653976,0.02182069694175347,0.12797358856382365,0.9949426826334962,58.523957020737264,0.022445654481427994,0.01934104264389501,0.005927281376943356,0.8536161839869217,0.8368768328445746,0.0,0.0,321.4781579325246,58.22798279653976,81.88742178597361,0,0,0,,ultrametric,2,32,0,0.00013437604323254427,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,29,83,105,32,73,27,True,True,True,True,,missing_p30_rep29_seed83.csv,MWproj_completed_p30_rep29_seed83.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep29_seed83.log,12.926099056989187,58.207590472549,0.022288486237552235,0.12792877026933847,0.9945942385940144,58.523957020737264,0.022445654481427994,0.011559938628962584,0.0034893949124459207,0.9463419252118219,0.9516129032258064,0.0,0.0,327.3766301659299,58.207590472549,82.21999217138784,0,0,0,,ultrametric,2,32,0,0.00013376448121758626,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,30,84,105,32,73,27,True,True,True,True,,missing_p30_rep30_seed84.csv,MWproj_completed_p30_rep30_seed84.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep30_seed84.log,18.61393793200841,35.03613391895913,0.01527889436442275,0.0770024921295805,0.5986631065726553,58.523957020737264,0.022445654481427994,0.003810685563146861,0.002033437663538023,0.9947504045885073,0.939149560117302,0.0,0.0,412.9545892956023,35.03613391895913,91.51574172387282,0,0,0,,ultrametric,2,32,0,0.0001200741530983929,105,27,105,"(0, 14)",20580,17745,scipy.optimize.nnls
