,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T12,0.16979930693098785,0.16852194406537147,0.1653238483881201,0.18216106809310212,0.16562565622759412,0.16623315918497694,0.1659354495226743,0.21538641996361466,0.16979674031369132,0.16566022157645743,0.1605629014468759,0.0,0.16550328052064617,0.163265835866128,0.1659672835987348,0.17881509555942618,0.16549769621662505,0.1657588952577039,0.16598539018388994,0.1651561425545831,0.16592837573523,0.1719586053531561,0.16566118454671924,0.1779624392983187,0.165988174836249,0.1639803041263507,0.16580725158085213,0.1658124910810974,0.21034351863311,0.16593655092644596
T13,0.16981504827243735,0.16840574157078292,0.16585955826689278,0.2070814123666118,0.13369909177073844,0.16631856626362046,0.16607365102944452,0.21520402086624027,0.2063361586613651,0.16573242792792905,0.16602093596018155,0.16550328052064617,0.0,0.16599586889115167,0.1658883360706915,0.17849113379160705,0.16569951638534072,0.16611510559306178,0.1827611965360104,0.1659134149173463,0.16576949522590456,0.17196832586167582,0.1657873538986624,0.1659755815182003,0.1654572433761889,0.16605175219788096,0.1658926160493716,0.16607337634661912,0.2124266262004385,0.1327002909693212
T14,0.16973384036372957,0.1683776742106982,0.1491055190348562,0.18227492233974482,0.1580511232841498,0.16632405159267202,0.16079313389788766,0.21523458904673584,0.16976167224232064,0.1809393706997847,0.16611300919496044,0.163265835866128,0.16599586889115167,0.0,0.14934803169275732,0.1790641006759698,0.1489966193808215,0.14923583456617967,0.14914968130021128,0.1461772934194708,0.14893469302768045,0.17169253499239995,0.14935769395888132,0.1589835901632063,0.14923600069659773,0.14908517366596002,0.14943619726581125,0.15325326523761107,0.21038015982147595,0.15786102768778384
T15,0.16967592484028593,0.1685673395491612,0.14533354115335614,0.1990914238727192,0.15786717568659675,0.1659479088214667,0.16085995167490802,0.2152417943385648,0.1697258771983516,0.1621379586668027,0.16608921117027903,0.1659672835987348,0.1658883360706915,0.14934803169275732,0.0,0.17876586284730986,0.14511414186355126,0.14525483680754003,0.14522122687138628,0.14922091964940154,0.14504783619110476,0.17180228595985084,0.1451500667155771,0.14571329961692414,0.14536675179848038,0.14506823844112865,0.14511279939400776,0.15310290463290585,0.21009245148582872,0.15802484525743818
T16,0.1789547705836546,0.179055933606378,0.17904489259240458,0.182380834627804,0.17901984223575615,0.1790864359654309,0.1791132377976323,0.21520656446358405,0.17913778572868852,0.1789450630296035,0.1791444891470012,0.17881509555942618,0.17849113379160705,0.1790641006759698,0.17876586284730986,0.0,0.1788257699623727,0.17892118607121676,0.17894667219034877,0.1788657747112781,0.17890816502310491,0.1790192213020401,0.17874600670634372,0.17868249933416344,0.17894325939558625,0.17890514940736355,0.17913391797671208,0.1788815122917011,0.2100931210238565,0.1788740612009012
T17,0.1697216304233205,0.16845832831483049,0.108183468834284,0.18189972281725816,0.1578047299907348,0.16584112802177478,0.16076627267731283,0.21519485947991207,0.16993341548326454,0.16191145758794656,0.16596764584975174,0.16549769621662505,0.16569951638534072,0.1489966193808215,0.14511414186355126,0.1788257699623727,0.0,0.1051285246072853,0.13014151038574226,0.1491699396337334,0.0831993370340941,0.17166691427663966,0.11104219420543966,0.1067777447349472,0.1154357960977468,0.13028298243220837,0.0652860333601583,0.1531171042761198,0.2100576581232585,0.1578984932489947
T18,0.16968250975486576,0.16851409860374408,0.11179096281478564,0.1821453627234264,0.1472728452389169,0.16579587492959905,0.1606133730531032,0.21544134451733474,0.16981972757244002,0.16194317740422443,0.1661222923670996,0.1657588952577039,0.16611510559306178,0.14923583456617967,0.14525483680754003,0.17892118607121676,0.1051285246072853,0.0,0.1306106587945623,0.14888594499908941,0.10596300831937887,0.17173281986904884,0.11144747958071892,0.13011068587365568,0.11587103021651164,0.1299666137038521,0.1051190977932991,0.15308735005073562,0.2102723167382738,0.1569251667623261
T19,0.16995342537016594,0.16816271640044184,0.13050125495525342,0.1608224730904198,0.15812965624937447,0.16606304352773138,0.16080782351874873,0.21521831670159908,0.16957878662635945,0.16218748254270401,0.16591105663914898,0.16598539018388994,0.1827611965360104,0.14914968130021128,0.14522122687138628,0.17894667219034877,0.13014151038574226,0.1306106587945623,0.0,0.1490088253972278,0.13053076274275652,0.17183182778862027,0.13000012424361118,0.113197022575612,0.13058010514932153,0.13007915669858186,0.13027235932915612,0.1482525868890977,0.20987357712620305,0.15780377891594416
T20,0.16975847041639122,0.168260692241985,0.14858284899605623,0.18186644903857463,0.15760817349245126,0.16594153771422634,0.1607400916647165,0.2153322533753875,0.1592116364607237,0.16208759673464662,0.16583385727720953,0.1651561425545831,0.1659134149173463,0.1461772934194708,0.14922091964940154,0.1788657747112781,0.1491699396337334,0.14888594499908941,0.1490088253972278,0.0,0.1486760910287181,0.17174009774184543,0.14924963175115755,0.147577388154655,0.14878890353897076,0.1492337945533785,0.14930599182272825,0.15340590615574964,0.21025096295319826,0.15808105676131964
T21,0.1709617115671554,0.16814801123228668,0.1125251349164797,0.18255440545693508,0.1574713302441976,0.16604810187961658,0.1604887930615643,0.2155031495899831,0.16992181068305012,0.16220995391382356,0.16595754494809348,0.16592837573523,0.16576949522590456,0.14893469302768045,0.14504783619110476,0.17890816502310491,0.0831993370340941,0.10596300831937887,0.13053076274275652,0.1486760910287181,0.0,0.1725247662357616,0.11224488858121887,0.13022116588394095,0.1158923109146062,0.12993489270022132,0.08361763087647972,0.1574587703583155,0.2099957065378953,0.15748669804514784
