method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,masked_file
Hyb-Adam-UM,50,16,70,HybAdamUM_completed_p50_rep16_seed70.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep16_seed70.csv,0.4952380952380952,105,52,53,52,missing_p50_rep16_seed70.csv
Hyb-Adam-UM,50,17,71,HybAdamUM_completed_p50_rep17_seed71.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep17_seed71.csv,0.4952380952380952,105,52,53,52,missing_p50_rep17_seed71.csv
Hyb-Adam-UM,50,18,72,HybAdamUM_completed_p50_rep18_seed72.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep18_seed72.csv,0.4952380952380952,105,52,53,52,missing_p50_rep18_seed72.csv
Hyb-Adam-UM,50,19,73,HybAdamUM_completed_p50_rep19_seed73.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep19_seed73.csv,0.4952380952380952,105,52,53,52,missing_p50_rep19_seed73.csv
Hyb-Adam-UM,50,20,74,HybAdamUM_completed_p50_rep20_seed74.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep20_seed74.csv,0.4952380952380952,105,52,53,52,missing_p50_rep20_seed74.csv
Hyb-Adam-UM,50,21,75,HybAdamUM_completed_p50_rep21_seed75.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep21_seed75.csv,0.4952380952380952,105,52,53,52,missing_p50_rep21_seed75.csv
Hyb-Adam-UM,50,22,76,HybAdamUM_completed_p50_rep22_seed76.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep22_seed76.csv,0.4952380952380952,105,52,53,52,missing_p50_rep22_seed76.csv
Hyb-Adam-UM,50,23,77,HybAdamUM_completed_p50_rep23_seed77.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep23_seed77.csv,0.4952380952380952,105,52,53,52,missing_p50_rep23_seed77.csv
Hyb-Adam-UM,50,24,78,HybAdamUM_completed_p50_rep24_seed78.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep24_seed78.csv,0.4952380952380952,105,52,53,52,missing_p50_rep24_seed78.csv
Hyb-Adam-UM,50,25,79,HybAdamUM_completed_p50_rep25_seed79.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep25_seed79.csv,0.4952380952380952,105,52,53,52,missing_p50_rep25_seed79.csv
Hyb-Adam-UM,50,26,80,HybAdamUM_completed_p50_rep26_seed80.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep26_seed80.csv,0.4952380952380952,105,52,53,52,missing_p50_rep26_seed80.csv
Hyb-Adam-UM,50,27,81,HybAdamUM_completed_p50_rep27_seed81.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep27_seed81.csv,0.4952380952380952,105,52,53,52,missing_p50_rep27_seed81.csv
