method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
MW-proj,50,10,64,MWproj_completed_p50_rep10_seed64.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep10_seed64.csv,0.4952380952380952,105,52,53,27,0.033809931109571,0.0165501681326676,0.8703765131329139,0.9539827542047298,14.206468235000102,True,True,True,0,0,0.0118375603656752,0.5581702186755555,0.0,0.0,missing_p50_rep10_seed64.csv,MWproj_completed_p50_rep10_seed64.csv,
MW-proj,50,11,65,MWproj_completed_p50_rep11_seed65.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep11_seed65.csv,0.4952380952380952,105,52,53,27,0.0183825439092309,0.0105244416219484,0.936428755149902,0.9264065568172116,13.5493908200001,True,True,True,0,0,0.0150856271859065,0.7731543180197036,0.0,0.0,missing_p50_rep11_seed65.csv,MWproj_completed_p50_rep11_seed65.csv,
MW-proj,50,12,66,MWproj_completed_p50_rep12_seed66.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep12_seed66.csv,0.4952380952380952,105,52,53,27,0.0172673206034042,0.0090540353875713,0.969598911198428,0.9845470844360968,16.409112264999976,True,True,True,0,0,0.0158702965256936,0.8013711121242068,0.0,0.0,missing_p50_rep12_seed66.csv,MWproj_completed_p50_rep12_seed66.csv,
MW-proj,50,13,67,MWproj_completed_p50_rep13_seed67.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep13_seed67.csv,0.4952380952380952,105,52,53,27,0.0423239876057158,0.0231273999856648,0.802164163565735,0.8440194655510971,18.510429447999968,True,True,True,0,0,0.0129622312565639,0.6122075393572425,0.0,0.0,missing_p50_rep13_seed67.csv,MWproj_completed_p50_rep13_seed67.csv,
MW-proj,50,14,68,MWproj_completed_p50_rep14_seed68.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep14_seed68.csv,0.4952380952380952,105,52,53,27,0.0284303594947419,0.0139086795371191,0.9138371629740054,0.9287116878681806,13.171303365000083,True,True,True,0,0,0.0139773643695438,0.6658795966407202,0.0,0.0,missing_p50_rep14_seed68.csv,MWproj_completed_p50_rep14_seed68.csv,
MW-proj,50,15,69,MWproj_completed_p50_rep15_seed69.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep15_seed69.csv,0.4952380952380952,105,52,53,27,0.0164967765521864,0.0081659018900519,0.9506157942402336,0.955604883462819,16.58556922699995,True,True,True,0,0,0.017566474799313,0.869125784281217,0.0,0.0,missing_p50_rep15_seed69.csv,MWproj_completed_p50_rep15_seed69.csv,
MW-proj,50,16,70,MWproj_completed_p50_rep16_seed70.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep16_seed70.csv,0.4952380952380952,105,52,53,27,0.0169538942448131,0.0093499332295629,0.9420103211361044,0.8865363271578587,12.023799001000045,True,True,True,0,0,0.0127978125378952,0.6099667683373401,0.0,0.0,missing_p50_rep16_seed70.csv,MWproj_completed_p50_rep16_seed70.csv,
MW-proj,50,17,71,MWproj_completed_p50_rep17_seed71.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep17_seed71.csv,0.4952380952380952,105,52,53,27,0.0189300111744895,0.0110826994261039,0.947562004181175,0.9508238709126612,11.768677928999978,True,True,True,0,0,0.017491904679575,0.8681573931563414,0.0,0.0,missing_p50_rep17_seed71.csv,MWproj_completed_p50_rep17_seed71.csv,
MW-proj,50,18,72,MWproj_completed_p50_rep18_seed72.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep18_seed72.csv,0.4952380952380952,105,52,53,27,0.0142889255116608,0.0079048669498903,0.9625842081832964,0.939468966106036,12.341931488,True,True,True,0,0,0.015520783449328,0.7689591311531181,0.0,0.0,missing_p50_rep18_seed72.csv,MWproj_completed_p50_rep18_seed72.csv,
MW-proj,50,19,73,MWproj_completed_p50_rep19_seed73.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep19_seed73.csv,0.4952380952380952,105,52,53,27,0.0215841971539536,0.0091642418190499,0.944682785875652,0.9889865960898148,12.151615928999943,True,True,True,0,0,0.0136316789286251,0.6458223811054189,0.0,0.0,missing_p50_rep19_seed73.csv,MWproj_completed_p50_rep19_seed73.csv,
MW-proj,50,20,74,MWproj_completed_p50_rep20_seed74.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep20_seed74.csv,0.4952380952380952,105,52,53,27,0.0074573064335172,0.0039868870902932,0.9879732789588056,0.9512507470332108,12.210735267000018,True,True,True,0,0,0.0162008520412877,0.8062706201116817,0.0,0.0,missing_p50_rep20_seed74.csv,MWproj_completed_p50_rep20_seed74.csv,
MW-proj,50,21,75,MWproj_completed_p50_rep21_seed75.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep21_seed75.csv,0.4952380952380952,105,52,53,27,0.0096333011616698,0.0061907032013103,0.9879669068398954,0.9644839067702552,12.270852082999909,True,True,True,0,0,0.0196974692010833,0.9708183129858794,0.0,0.0,missing_p50_rep21_seed75.csv,MWproj_completed_p50_rep21_seed75.csv,
MW-proj,50,22,76,MWproj_completed_p50_rep22_seed76.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep22_seed76.csv,0.4952380952380952,105,52,53,27,0.0085229342849037,0.0057261936352666,0.9841405235126436,0.920942542474174,14.971701403999989,True,True,True,0,0,0.0148247901047288,0.7234655202176448,0.0,0.0,missing_p50_rep22_seed76.csv,MWproj_completed_p50_rep22_seed76.csv,
