method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,masked_file,__metadata_scope,__metadata_source
KNN-Impute,30,27,81,KNNimpute_completed_p30_rep27_seed81.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep27_seed81.csv,0.3047619047619048,105,32,73,0,0.0023457729985238,0.0358386485528447,0.0303043845770474,0.7716156358702779,0.5546187683284457,0.0,0.0,missing_p30_rep27_seed81.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,28,82,KNNimpute_completed_p30_rep28_seed82.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep28_seed82.csv,0.3047619047619048,105,32,73,0,0.0024571269896114,0.0302064310690166,0.0238829506402497,0.8801496023249256,0.8042521994134896,0.0,0.0,missing_p30_rep28_seed82.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,29,83,KNNimpute_completed_p30_rep29_seed83.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep29_seed83.csv,0.3047619047619048,105,32,73,0,0.0021566859941231,0.0296034565687957,0.0245870324945408,0.9005740664029269,0.782991202346041,0.0,0.0,missing_p30_rep29_seed83.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,30,84,KNNimpute_completed_p30_rep30_seed84.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep30_seed84.csv,0.3047619047619048,105,32,73,0,0.0021974139963276,0.0332305781248391,0.0253522546471312,0.8083844275168682,0.6928152492668621,0.0,0.0,missing_p30_rep30_seed84.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,1,55,KNNimpute_completed_p50_rep01_seed55.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep01_seed55.csv,0.4952380952380952,105,52,53,0,0.0022348740021698,0.0378034399565852,0.029264570298004,0.7742496947906723,0.6189703747972338,0.0,0.0,missing_p50_rep01_seed55.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,2,56,KNNimpute_completed_p50_rep02_seed56.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep02_seed56.csv,0.4952380952380952,105,52,53,0,0.0035934710031142,0.0341230247150283,0.0265135058760438,0.8630130499474211,0.8058567403739434,0.0,0.0,missing_p50_rep02_seed56.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,3,57,KNNimpute_completed_p50_rep03_seed57.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep03_seed57.csv,0.4952380952380952,105,52,53,0,0.0022295329981716,0.0459145579302785,0.0353722878784348,0.6946737294996774,0.5891744215828567,0.0,0.0,missing_p50_rep03_seed57.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,4,58,KNNimpute_completed_p50_rep04_seed58.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep04_seed58.csv,0.4952380952380952,105,52,53,0,0.0029805859958287,0.0322921571254156,0.0255287026254623,0.8594365926095732,0.792794331085119,0.0,0.0,missing_p50_rep04_seed58.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,5,59,KNNimpute_completed_p50_rep05_seed59.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep05_seed59.csv,0.4952380952380952,105,52,53,0,0.0029668009956367,0.040647015250169,0.0312803556115358,0.74497128965007,0.5569879620934005,0.0,0.0,missing_p50_rep05_seed59.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,6,60,KNNimpute_completed_p50_rep06_seed60.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep06_seed60.csv,0.4952380952380952,105,52,53,0,0.0022670839971397,0.0371726211101157,0.0318176966257822,0.7531683146914265,0.6955519508238709,0.0,0.0,missing_p50_rep06_seed60.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,7,61,KNNimpute_completed_p50_rep07_seed61.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep07_seed61.csv,0.4952380952380952,105,52,53,0,0.0021696179901482,0.0377417943334133,0.0292710604749926,0.7312784131721813,0.5841372833603687,0.0,0.0,missing_p50_rep07_seed61.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,8,62,KNNimpute_completed_p50_rep08_seed62.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep08_seed62.csv,0.4952380952380952,105,52,53,0,0.0021775569912279,0.0358771469702992,0.0301762544792465,0.7889695813227887,0.839494578673269,0.0,0.0,missing_p50_rep08_seed62.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
