method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,Delta_init,Delta_final,Delta_reduction_percent,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,n_weighted_lsq_fits,n_graft_evaluations,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,masked_file,__metadata_scope,__metadata_source
MW-proj,30,21,75,MWproj_completed_p30_rep21_seed75.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep21_seed75.csv,0.3047619047619048,105,32,73,27,14.83032729699994,0.0103486176902247,0.0062510836958887,0.9851119380179342,0.9765395894428152,136.9873614178363,42.80365883332384,68.75357084748504,42.80365883332384,0.018617095999194,0.0940739754578545,0.9156762131215376,0.0,0.0,0.0021045165089246,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep21_seed75.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,22,76,MWproj_completed_p30_rep22_seed76.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep22_seed76.csv,0.3047619047619048,105,32,73,27,17.19834644299999,0.0057067203929558,0.0043529280058578,0.9933588729815044,0.971041055718475,169.80849328431245,42.04618897679697,75.23905420537562,42.04618897679697,0.0181797182406187,0.0924092065424109,0.8994720579468811,0.0,0.0,0.0017193234548665,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep22_seed76.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,23,77,MWproj_completed_p30_rep23_seed77.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep23_seed77.csv,0.3047619047619048,105,32,73,27,15.62567693799997,0.0085795412269674,0.0056565973932464,0.9824884077756204,0.9464809384164222,165.49638458278784,44.71127991292622,72.9835307123825,44.71127991292622,0.0188482658830291,0.0982665492591785,0.9564849498943208,0.0,0.0,0.0016553010168566,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep23_seed77.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,24,78,MWproj_completed_p30_rep24_seed78.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep24_seed78.csv,0.3047619047619048,105,32,73,27,15.588453447000006,0.023715978383527,0.0105127224227464,0.9459723153998606,0.972873900293255,112.30575454724884,38.38840332716543,65.81795520458856,38.38840332716543,0.0170484204949407,0.0843701172025613,0.8212229688886964,0.0,0.0,0.0014359284307842,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep24_seed78.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,25,79,MWproj_completed_p30_rep25_seed79.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep25_seed79.csv,0.3047619047619048,105,32,73,27,15.313151608999988,0.013820862534318,0.0055633458086779,0.965395570700821,0.9736070381231672,141.6163803142745,40.0487883162666,71.72022881294488,40.0487883162666,0.0175445497810774,0.0880193149808057,0.8567427137092104,0.0,0.0,0.0012198291075258,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep25_seed79.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,26,80,MWproj_completed_p30_rep26_seed80.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep26_seed80.csv,0.3047619047619048,105,32,73,27,13.116313492000018,0.0186034871861432,0.0085537788565716,0.9516678050360324,0.9516129032258064,122.98758601152556,41.43514318066748,66.3094914499871,41.43514318066748,0.0183730066978305,0.0910662487487197,0.886400275863428,0.0,0.0,0.0011902300019043,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep26_seed80.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,27,81,MWproj_completed_p30_rep27_seed81.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep27_seed81.csv,0.3047619047619048,105,32,73,27,15.134514081000134,0.0041493210778431,0.0033103873716544,0.997939888575766,0.9802052785923752,248.00027235437696,47.62583901217609,80.79605374621454,47.62583901217609,0.0203722497539888,0.1046721736531342,1.0188345833523444,0.0,0.0,0.0017824656029255,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep27_seed81.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,28,82,MWproj_completed_p30_rep28_seed82.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep28_seed82.csv,0.3047619047619048,105,32,73,27,15.898410581999997,0.0103605282480166,0.0059317723139351,0.9851063949136006,0.9670087976539588,156.68465377724513,38.11222419879128,75.67584107313118,38.11222419879128,0.0169221108571052,0.0837631301072335,0.8153148137144482,0.0,0.0,0.0013843597750401,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep28_seed82.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,29,83,MWproj_completed_p30_rep29_seed83.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep29_seed83.csv,0.3047619047619048,105,32,73,27,13.364231851000111,0.0090417242093208,0.0043120467045367,0.9882369541025308,0.9820381231671552,199.92129525491697,48.28730637030204,75.84684197412209,48.28730637030204,0.0202081672076728,0.1061259480665978,1.0329850074539575,0.0,0.0,0.0015533814246342,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep29_seed83.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,30,84,MWproj_completed_p30_rep30_seed84.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep30_seed84.csv,0.3047619047619048,105,32,73,27,18.17717536600003,0.0177136660364311,0.0086465989563521,0.9445182607735578,0.942815249266862,135.4417706097095,41.00665694618528,69.7237737209221,41.00665694618528,0.0177273818531894,0.0901245207608467,0.8772338946880899,0.0,0.0,0.0013062690991632,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep30_seed84.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
