method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
MDS-SMACOF,50,8,62,MDS_SMACOF_completed_p50_rep08_seed62.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep08_seed62.csv,0.4952380952380952,105,52,53,210,52,0.0325620489508876,0.0262188044598825,0.8330834804933035,0.7384956885511824,0.0139939849998427,True,True,True,312,312,0.0,0.0,missing_p50_rep08_seed62.csv,MDS_SMACOF_completed_p50_rep08_seed62.csv,
MDS-SMACOF,50,9,63,MDS_SMACOF_completed_p50_rep09_seed63.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep09_seed63.csv,0.4952380952380952,105,52,53,210,52,0.041525696978646,0.0339945211540012,0.8170887703123442,0.7460940834969692,0.0198686789999555,True,True,True,359,359,0.0,0.0,missing_p50_rep09_seed63.csv,MDS_SMACOF_completed_p50_rep09_seed63.csv,
MDS-SMACOF,50,10,64,MDS_SMACOF_completed_p50_rep10_seed64.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep10_seed64.csv,0.4952380952380952,105,52,53,210,52,0.0535297178263355,0.0403488944717488,0.5805263513009927,0.7288482882267565,0.0167570359999444,True,True,True,334,334,0.0,0.0,missing_p50_rep10_seed64.csv,MDS_SMACOF_completed_p50_rep10_seed64.csv,
MDS-SMACOF,50,11,65,MDS_SMACOF_completed_p50_rep11_seed65.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep11_seed65.csv,0.4952380952380952,105,52,53,210,52,0.038972561435581,0.0327574526369863,0.7264272367591627,0.6614018611798855,0.0268049000001155,True,True,True,518,518,0.0,0.0,missing_p50_rep11_seed65.csv,MDS_SMACOF_completed_p50_rep11_seed65.csv,
MDS-SMACOF,50,12,66,MDS_SMACOF_completed_p50_rep12_seed66.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep12_seed66.csv,0.4952380952380952,105,52,53,210,52,0.0471178567237592,0.0363615715240507,0.6925022416413193,0.788098693759071,0.0270927130000018,True,True,True,578,578,0.0,0.0,missing_p50_rep12_seed66.csv,MDS_SMACOF_completed_p50_rep12_seed66.csv,
MDS-SMACOF,50,13,67,MDS_SMACOF_completed_p50_rep13_seed67.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep13_seed67.csv,0.4952380952380952,105,52,53,210,52,0.0625889542588902,0.0474030451761294,0.4839427369692033,0.5560488346281909,0.0129757250001603,True,True,True,294,294,0.0,0.0,missing_p50_rep13_seed67.csv,MDS_SMACOF_completed_p50_rep13_seed67.csv,
MDS-SMACOF,50,14,68,MDS_SMACOF_completed_p50_rep14_seed68.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep14_seed68.csv,0.4952380952380952,105,52,53,210,52,0.0549984394744402,0.040941237684166,0.5218510633280984,0.7544608554597455,0.0150887839999995,True,True,True,339,339,0.0,0.0,missing_p50_rep14_seed68.csv,MDS_SMACOF_completed_p50_rep14_seed68.csv,
MDS-SMACOF,50,15,69,MDS_SMACOF_completed_p50_rep15_seed69.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep15_seed69.csv,0.4952380952380952,105,52,53,210,52,0.0383342013646452,0.03189270483836,0.7560083947910528,0.7059677281652863,0.0167888050000328,True,True,True,369,369,0.0,0.0,missing_p50_rep15_seed69.csv,MDS_SMACOF_completed_p50_rep15_seed69.csv,
MDS-SMACOF,50,16,70,MDS_SMACOF_completed_p50_rep16_seed70.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep16_seed70.csv,0.4952380952380952,105,52,53,210,52,0.0360268970764925,0.0303693839807272,0.7713137308875774,0.4902245368394092,0.0151801409999734,True,True,True,344,344,0.0,0.0,missing_p50_rep16_seed70.csv,MDS_SMACOF_completed_p50_rep16_seed70.csv,
MDS-SMACOF,50,17,71,MDS_SMACOF_completed_p50_rep17_seed71.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep17_seed71.csv,0.4952380952380952,105,52,53,210,52,0.0404695721423231,0.0323765434147088,0.7292350718686977,0.8439340903269871,0.0178278419998605,True,True,True,413,413,0.0,0.0,missing_p50_rep17_seed71.csv,MDS_SMACOF_completed_p50_rep17_seed71.csv,
MDS-SMACOF,50,18,72,MDS_SMACOF_completed_p50_rep18_seed72.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep18_seed72.csv,0.4952380952380952,105,52,53,210,52,0.0375059714276421,0.0308836600935347,0.806010172048417,0.6947835738068813,0.0175932859999647,True,True,True,394,394,0.0,0.0,missing_p50_rep18_seed72.csv,MDS_SMACOF_completed_p50_rep18_seed72.csv,
MDS-SMACOF,50,19,73,MDS_SMACOF_completed_p50_rep19_seed73.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep19_seed73.csv,0.4952380952380952,105,52,53,210,52,0.049534330016403,0.0380023933378772,0.6172461997331965,0.6712200119525313,0.0149717109998164,True,True,True,295,295,0.0,0.0,missing_p50_rep19_seed73.csv,MDS_SMACOF_completed_p50_rep19_seed73.csv,
MDS-SMACOF,50,20,74,MDS_SMACOF_completed_p50_rep20_seed74.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep20_seed74.csv,0.4952380952380952,105,52,53,210,52,0.0329484658453131,0.0278697598954605,0.8048460540048056,0.7752070349184667,0.0178973409999798,True,True,True,396,396,0.0,0.0,missing_p50_rep20_seed74.csv,MDS_SMACOF_completed_p50_rep20_seed74.csv,
MDS-SMACOF,50,21,75,MDS_SMACOF_completed_p50_rep21_seed75.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep21_seed75.csv,0.4952380952380952,105,52,53,210,52,0.036301425312666,0.02979245077709,0.9217173594042136,0.9019892427217622,0.018110575999799,True,True,True,356,356,0.0,0.0,missing_p50_rep21_seed75.csv,MDS_SMACOF_completed_p50_rep21_seed75.csv,
MDS-SMACOF,50,22,76,MDS_SMACOF_completed_p50_rep22_seed76.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep22_seed76.csv,0.4952380952380952,105,52,53,210,52,0.0337835006081283,0.0285494113743352,0.8235893623850303,0.8452147186886365,0.0402545409999675,True,True,True,587,587,0.0,0.0,missing_p50_rep22_seed76.csv,MDS_SMACOF_completed_p50_rep22_seed76.csv,
