method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,n_neighbors_requested,n_neighbors_effective,knn_weights,knn_metric,epochs_used,convergence_epoch,optimizer_config_json,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,n_success,n_failed
KNN-impute,30,0.3,0.3047619047619048,27,81,105,32,73,0,32,True,True,True,,missing_p30_rep27_seed81.csv,KNNimpute_completed_p30_rep27_seed81.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0023457729985238984,0.03583864855284475,0.030304384577047403,0.7716156358702779,0.5546187683284457,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,28,82,105,32,73,0,32,True,True,True,,missing_p30_rep28_seed82.csv,KNNimpute_completed_p30_rep28_seed82.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0024571269896114245,0.03020643106901667,0.02388295064024979,0.8801496023249256,0.8042521994134896,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,29,83,105,32,73,0,32,True,True,True,,missing_p30_rep29_seed83.csv,KNNimpute_completed_p30_rep29_seed83.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0021566859941231087,0.02960345656879573,0.024587032494540893,0.9005740664029269,0.782991202346041,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,30,84,105,32,73,0,32,True,True,True,,missing_p30_rep30_seed84.csv,KNNimpute_completed_p30_rep30_seed84.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0021974139963276684,0.03323057812483911,0.025352254647131207,0.8083844275168682,0.6928152492668621,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,1,55,105,52,53,0,52,True,True,True,,missing_p50_rep01_seed55.csv,KNNimpute_completed_p50_rep01_seed55.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0022348740021698177,0.03780343995658529,0.029264570298004,0.7742496947906723,0.6189703747972338,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,2,56,105,52,53,0,52,True,True,True,,missing_p50_rep02_seed56.csv,KNNimpute_completed_p50_rep02_seed56.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.003593471003114246,0.03412302471502832,0.026513505876043876,0.8630130499474211,0.8058567403739434,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,3,57,105,52,53,0,52,True,True,True,,missing_p50_rep03_seed57.csv,KNNimpute_completed_p50_rep03_seed57.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002229532998171635,0.045914557930278585,0.03537228787843481,0.6946737294996774,0.5891744215828567,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,4,58,105,52,53,0,52,True,True,True,,missing_p50_rep04_seed58.csv,KNNimpute_completed_p50_rep04_seed58.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002980585995828733,0.03229215712541561,0.02552870262546234,0.8594365926095732,0.792794331085119,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,5,59,105,52,53,0,52,True,True,True,,missing_p50_rep05_seed59.csv,KNNimpute_completed_p50_rep05_seed59.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0029668009956367314,0.04064701525016907,0.031280355611535825,0.74497128965007,0.5569879620934005,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,6,60,105,52,53,0,52,True,True,True,,missing_p50_rep06_seed60.csv,KNNimpute_completed_p50_rep06_seed60.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002267083997139707,0.0371726211101157,0.03181769662578225,0.7531683146914265,0.6955519508238709,0.0,0.0,30,0
