method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,n_neighbors_requested,n_neighbors_effective,knn_weights,knn_metric,epochs_used,convergence_epoch,optimizer_config_json,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,n_success,n_failed
KNN-impute,30,0.3,0.3047619047619048,25,79,105,32,73,0,32,True,True,True,,missing_p30_rep25_seed79.csv,KNNimpute_completed_p30_rep25_seed79.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0027921970001898444,0.059745534924152854,0.048434862851749014,0.8048102365653483,0.7686950146627565,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,26,80,105,32,73,0,32,True,True,True,,missing_p30_rep26_seed80.csv,KNNimpute_completed_p30_rep26_seed80.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002185256999837293,0.060814931955945305,0.051460041324337874,0.8488091368320205,0.721774193548387,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,27,81,105,32,73,0,32,True,True,True,,missing_p30_rep27_seed81.csv,KNNimpute_completed_p30_rep27_seed81.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0025544810000610596,0.06340398782171217,0.0576700365215958,0.827392124258474,0.7716275659824047,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,28,82,105,32,73,0,32,True,True,True,,missing_p30_rep28_seed82.csv,KNNimpute_completed_p30_rep28_seed82.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0025513020000289544,0.06651190519257098,0.053775990397866985,0.7995521175896987,0.7774926686217009,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,29,83,105,32,73,0,32,True,True,True,,missing_p30_rep29_seed83.csv,KNNimpute_completed_p30_rep29_seed83.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0023378519999823766,0.06246250098411287,0.05665506854451718,0.8344005998658299,0.7001466275659822,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,30,84,105,32,73,0,32,True,True,True,,missing_p30_rep30_seed84.csv,KNNimpute_completed_p30_rep30_seed84.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002122532999919713,0.06213548886321542,0.050491402636004414,0.831420795407568,0.8310117302052785,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,1,55,105,52,53,0,52,True,True,True,,missing_p50_rep01_seed55.csv,KNNimpute_completed_p50_rep01_seed55.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002113955999902828,0.0661261617419464,0.055469621879298964,0.7298411859479813,0.7432767011013405,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,2,56,105,52,53,0,52,True,True,True,,missing_p50_rep02_seed56.csv,KNNimpute_completed_p50_rep02_seed56.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.006776813999977094,0.0684229266808591,0.060561609375904345,0.8568533141562081,0.500042687612055,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,3,57,105,52,53,0,52,True,True,True,,missing_p50_rep03_seed57.csv,KNNimpute_completed_p50_rep03_seed57.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0022417109998968954,0.07031303378314957,0.054218048111173436,0.7739115408034627,0.7330316742081447,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,4,58,105,52,53,0,52,True,True,True,,missing_p50_rep04_seed58.csv,KNNimpute_completed_p50_rep04_seed58.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002259421000189832,0.059883051128195815,0.05191195421472718,0.8611831908189012,0.7873303167420814,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,5,59,105,52,53,0,52,True,True,True,,missing_p50_rep05_seed59.csv,KNNimpute_completed_p50_rep05_seed59.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0030606239999997342,0.06737886024357566,0.05536638343855465,0.7413458418263223,0.7329462989840348,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,6,60,105,52,53,0,52,True,True,True,,missing_p50_rep06_seed60.csv,KNNimpute_completed_p50_rep06_seed60.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.003180585000109204,0.0665156149228063,0.05577546963112196,0.6918869612919425,0.7563391103901649,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,7,61,105,52,53,0,52,True,True,True,,missing_p50_rep07_seed61.csv,KNNimpute_completed_p50_rep07_seed61.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0025373030000537256,0.062253162050376995,0.05604387902826283,0.8533540660262848,0.8554597455818321,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,8,62,105,52,53,0,52,True,True,True,,missing_p50_rep08_seed62.csv,KNNimpute_completed_p50_rep08_seed62.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0021121260001564224,0.07450466855852106,0.05600626427759191,0.6655622369952503,0.6216170067446427,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,9,63,105,52,53,0,52,True,True,True,,missing_p50_rep09_seed63.csv,KNNimpute_completed_p50_rep09_seed63.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0023285940001187555,0.06546903592030125,0.05330254037447203,0.747783759047683,0.6220438828651926,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,10,64,105,52,53,0,52,True,True,True,,missing_p50_rep10_seed64.csv,KNNimpute_completed_p50_rep10_seed64.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0023115039998629072,0.05654617221813532,0.04770063141406495,0.8455421787399042,0.7542901050115256,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,11,65,105,52,53,0,52,True,True,True,,missing_p50_rep11_seed65.csv,KNNimpute_completed_p50_rep11_seed65.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002589976000081151,0.06578907496047019,0.0511734750657427,0.7437060199889092,0.6182019977802441,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,12,66,105,52,53,0,52,True,True,True,,missing_p50_rep12_seed66.csv,KNNimpute_completed_p50_rep12_seed66.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0021986159999869415,0.0642641365712136,0.05565347454006025,0.8052042799380746,0.602236830871681,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,13,67,105,52,53,0,52,True,True,True,,missing_p50_rep13_seed67.csv,KNNimpute_completed_p50_rep13_seed67.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002093003999789289,0.05769387964526069,0.04904308742340524,0.8465377813824272,0.8019294800648852,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,14,68,105,52,53,0,52,True,True,True,,missing_p50_rep14_seed68.csv,KNNimpute_completed_p50_rep14_seed68.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002095144999884724,0.06723571779046227,0.051339005359291416,0.7832330757974013,0.7556561085972849,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,15,69,105,52,53,0,52,True,True,True,,missing_p50_rep15_seed69.csv,KNNimpute_completed_p50_rep15_seed69.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.00208658699989428,0.06393116605614346,0.05247535201491694,0.7752989457386,0.6512422095107999,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,16,70,105,52,53,0,52,True,True,True,,missing_p50_rep16_seed70.csv,KNNimpute_completed_p50_rep16_seed70.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002381277000040427,0.0708808302125361,0.055053872990133715,0.6680903425822793,0.6234952616750619,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,17,71,105,52,53,0,52,True,True,True,,missing_p50_rep17_seed71.csv,KNNimpute_completed_p50_rep17_seed71.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002136718000201654,0.06744334089481527,0.05366966066579139,0.7500802834348961,0.5434133014599163,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,18,72,105,52,53,0,52,True,True,True,,missing_p50_rep18_seed72.csv,KNNimpute_completed_p50_rep18_seed72.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0021232989997770346,0.07973910168258742,0.06176145813821627,0.5935043482676102,0.5031161956800136,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,19,73,105,52,53,0,52,True,True,True,,missing_p50_rep19_seed73.csv,KNNimpute_completed_p50_rep19_seed73.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0021877399999539193,0.06868845561415682,0.056738854929334455,0.7519348840985899,0.639631179031845,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,20,74,105,52,53,0,52,True,True,True,,missing_p50_rep20_seed74.csv,KNNimpute_completed_p50_rep20_seed74.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002068860000008499,0.07516962370362143,0.06340439754950955,0.6833879383713575,0.7251771535900281,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,21,75,105,52,53,0,52,True,True,True,,missing_p50_rep21_seed75.csv,KNNimpute_completed_p50_rep21_seed75.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0021340860000691464,0.07099066488743055,0.06424091732223393,0.7786348837388319,0.8417143345001281,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,22,76,105,52,53,0,52,True,True,True,,missing_p50_rep22_seed76.csv,KNNimpute_completed_p50_rep22_seed76.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002784417999919242,0.0689051681294245,0.057395884139884286,0.6999025325142156,0.730128916588406,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,23,77,105,52,53,0,52,True,True,True,,missing_p50_rep23_seed77.csv,KNNimpute_completed_p50_rep23_seed77.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002109132999976282,0.06891446861146405,0.057624137948206866,0.7589118422561311,0.709297361905575,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,24,78,105,52,53,0,52,True,True,True,,missing_p50_rep24_seed78.csv,KNNimpute_completed_p50_rep24_seed78.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002486874000169337,0.0597226273852372,0.04997036427539884,0.8036839682248806,0.83710407239819,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,25,79,105,52,53,0,52,True,True,True,,missing_p50_rep25_seed79.csv,KNNimpute_completed_p50_rep25_seed79.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002194870000039373,0.06556985554715829,0.05401896639890442,0.8333336137797626,0.7955263382566379,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,26,80,105,52,53,0,52,True,True,True,,missing_p50_rep26_seed80.csv,KNNimpute_completed_p50_rep26_seed80.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0021144669999557664,0.06706391717713343,0.049474497653591416,0.7001676422469109,0.667378126867583,0.0,0.0,30,0
