method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,imputed_variables,optimized_variables,success,success_numerical,success_valid_matrix,status,reason,error_message,masked_file,completed_file,run_log_file,s_top,initial_known_graph_components,joins_performed,n_pair_selection_failures,last_active_clusters,tree_edges_final,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,epochs_used,convergence_epoch,njstar_config_json
NJstar-STRICT,30,0.3,0.3047619047619048,28,82,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep28_seed82.csv,NJstar_STRICT_completed_p30_rep28_seed82.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep28_seed82.log,15,1,13,0,2,27,0.008634346999997433,55.581700901832406,0.02354751994051859,0.12215758439963166,1.1890301620902746,46.74540871538672,0.02022617682793644,0.021589469282510335,0.01292390020919858,0.9250903829169126,0.8706011730205279,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,29,83,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep29_seed83.csv,NJstar_STRICT_completed_p30_rep29_seed83.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep29_seed83.log,15,1,13,0,2,27,0.00824594799996703,49.68357182772243,0.02125379496003629,0.10919466335763171,1.0628545817242707,46.74540871538672,0.02022617682793644,0.008148949661676968,0.004325263072736737,0.9906545313971394,0.9820381231671553,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,30,84,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep30_seed84.csv,NJstar_STRICT_completed_p30_rep30_seed84.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep30_seed84.log,15,1,13,0,2,27,0.008758605999901192,49.39606024131609,0.020625184091988467,0.10856276976113427,1.0567039972218037,46.74540871538672,0.02022617682793644,0.025335924767358957,0.013140863837631026,0.8942200488104278,0.8306451612903225,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,50,0.5,0.49523809523809526,1,55,105,52,53,52,0,False,False,False,FAIL,No eligible pair at r=4: need d_xy known and |S_xy|>=3.,RuntimeError('No eligible pair at r=4: need d_xy known and |S_xy|>=3.'),missing_p50_rep01_seed55.csv,,njstar_strict_outputs/logs/NJstar_STRICT_p50_rep01_seed55.log,15,1,11,1,4,-1,0.006589246999965326,,,,,46.74540871538672,0.02022617682793644,,,,,,,-1,-1,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,50,0.5,0.49523809523809526,2,56,105,52,53,52,0,True,True,True,OK,OK,,missing_p50_rep02_seed56.csv,NJstar_STRICT_completed_p50_rep02_seed56.csv,njstar_strict_outputs/logs/NJstar_STRICT_p50_rep02_seed56.log,15,1,13,0,2,27,0.007705839999971431,51.55063059797321,0.022487577685502233,0.11329808922631475,1.1027955902972948,46.74540871538672,0.02022617682793644,0.02914189320794218,0.01753063638367431,0.9165987732255274,0.946384359258943,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,50,0.5,0.49523809523809526,3,57,105,52,53,52,0,False,False,False,FAIL,No eligible pair at r=3: need d_xy known and |S_xy|>=3.,RuntimeError('No eligible pair at r=3: need d_xy known and |S_xy|>=3.'),missing_p50_rep03_seed57.csv,,njstar_strict_outputs/logs/NJstar_STRICT_p50_rep03_seed57.log,15,1,12,1,3,-1,0.006715706000022692,,,,,46.74540871538672,0.02022617682793644,,,,,,,-1,-1,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,50,0.5,0.49523809523809526,4,58,105,52,53,52,0,False,False,False,FAIL,No eligible pair at r=3: need d_xy known and |S_xy|>=3.,RuntimeError('No eligible pair at r=3: need d_xy known and |S_xy|>=3.'),missing_p50_rep04_seed58.csv,,njstar_strict_outputs/logs/NJstar_STRICT_p50_rep04_seed58.log,15,1,12,1,3,-1,0.008118534000004729,,,,,46.74540871538672,0.02022617682793644,,,,,,,-1,-1,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,50,0.5,0.49523809523809526,5,59,105,52,53,52,0,True,True,True,OK,OK,,missing_p50_rep05_seed59.csv,NJstar_STRICT_completed_p50_rep05_seed59.csv,njstar_strict_outputs/logs/NJstar_STRICT_p50_rep05_seed59.log,15,1,13,0,2,27,0.006948515999965821,46.274217256373106,0.020035692556276186,0.1017015763876332,0.9899200483649099,46.74540871538672,0.02022617682793644,0.021536019278209466,0.00923557809822158,0.924800912630873,0.8872193289507384,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,50,0.5,0.49523809523809526,6,60,105,52,53,52,0,True,True,True,OK,OK,,missing_p50_rep06_seed60.csv,NJstar_STRICT_completed_p50_rep06_seed60.csv,njstar_strict_outputs/logs/NJstar_STRICT_p50_rep06_seed60.log,15,1,13,0,2,27,0.010540410000203337,78.57061310393546,0.03005905455909674,0.1726826661624955,1.6808198978924136,46.74540871538672,0.02022617682793644,0.01890536210891461,0.012194730795377253,0.9327384515923912,0.8830359429693503,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,50,0.5,0.49523809523809526,7,61,105,52,53,52,0,True,True,True,OK,OK,,missing_p50_rep07_seed61.csv,NJstar_STRICT_completed_p50_rep07_seed61.csv,njstar_strict_outputs/logs/NJstar_STRICT_p50_rep07_seed61.log,15,1,13,0,2,27,0.007312003999913941,87.55538015973602,0.03525031739259729,0.19242940694447477,1.8730263049538014,46.74540871538672,0.02022617682793644,0.029810390497967087,0.021386356305805206,0.8655011896745458,0.8992572355502433,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
