method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,s_top,status,reason,joins_performed,tree_edges_final,initial_known_graph_components,n_pair_selection_failures,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
NJstar-STRICT,30,23,77,NJstar_STRICT_completed_p30_rep23_seed77.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep23_seed77.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0130676064361403,0.0077243902202746,0.9542561630291966,0.9622434017595306,0.0085547530034091,True,True,True,13,13,0.0536313391392766,6.775254882097518,0.0,0.0,missing_p30_rep23_seed77.csv,NJstar_STRICT_completed_p30_rep23_seed77.csv,
NJstar-STRICT,30,24,78,NJstar_STRICT_completed_p30_rep24_seed78.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep24_seed78.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0331780759671983,0.0136457521890465,0.7029619924000766,0.5872434017595308,0.008748681997531,True,True,True,13,13,0.0287592846037606,1.321224113978631,0.0,0.0,missing_p30_rep24_seed78.csv,NJstar_STRICT_completed_p30_rep24_seed78.csv,
NJstar-STRICT,30,25,79,NJstar_STRICT_completed_p30_rep25_seed79.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep25_seed79.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0132962638664959,0.0058400193950553,0.9547590719168924,0.9585777126099708,0.0088012339983833,True,True,True,13,13,0.0201780394544421,0.8387709957095235,0.0,0.0,missing_p30_rep25_seed79.csv,NJstar_STRICT_completed_p30_rep25_seed79.csv,
NJstar-STRICT,30,26,80,NJstar_STRICT_completed_p30_rep26_seed80.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep26_seed80.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0303486438137595,0.0218651441302294,0.8029568049491995,0.344208211143695,0.0085619470046367,True,True,True,13,13,0.0640220039071587,6.961695375617117,0.0,0.0,missing_p30_rep26_seed80.csv,NJstar_STRICT_completed_p30_rep26_seed80.csv,
NJstar-STRICT,30,27,81,NJstar_STRICT_completed_p30_rep27_seed81.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep27_seed81.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0217893665840943,0.0143915268055702,0.8030283165182,0.6554252199413488,0.0085264359950087,True,True,True,13,13,0.0692515081215642,53680454022.55002,0.0,0.0,missing_p30_rep27_seed81.csv,NJstar_STRICT_completed_p30_rep27_seed81.csv,
NJstar-STRICT,30,28,82,NJstar_STRICT_completed_p30_rep28_seed82.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep28_seed82.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0270685084613923,0.010901457415411,0.7453038339587353,0.7016129032258064,0.0090688899945234,True,True,True,13,13,0.0419714269018997,2.1745169934428143,0.0,0.0,missing_p30_rep28_seed82.csv,NJstar_STRICT_completed_p30_rep28_seed82.csv,
NJstar-STRICT,30,29,83,NJstar_STRICT_completed_p30_rep29_seed83.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep29_seed83.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0494158168840097,0.0355917574079391,0.2975790272635097,0.0395894428152492,0.0099413370044203,True,True,True,13,13,0.0988567941454858,14.925103969349191,0.0,0.0,missing_p30_rep29_seed83.csv,NJstar_STRICT_completed_p30_rep29_seed83.csv,
NJstar-STRICT,30,30,84,NJstar_STRICT_completed_p30_rep30_seed84.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep30_seed84.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0044015487079311,0.002914988308175,0.9920558481492288,0.9208211143695014,0.0101478849974228,True,True,True,13,13,0.0216378096131117,0.9017079398735938,0.0,0.0,missing_p30_rep30_seed84.csv,NJstar_STRICT_completed_p30_rep30_seed84.csv,
NJstar-STRICT,50,1,55,NJstar_STRICT_completed_p50_rep01_seed55.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep01_seed55.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0358454589117032,0.0206631079943614,0.5992567153449488,0.4635020916929907,0.0069285909994505,True,True,True,13,13,0.0870038539582745,5.853365174168996,0.0,0.0,missing_p50_rep01_seed55.csv,NJstar_STRICT_completed_p50_rep01_seed55.csv,
NJstar-STRICT,50,2,56,NJstar_STRICT_completed_p50_rep02_seed56.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep02_seed56.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0275009434350282,0.0092158582567561,0.7827340644078287,0.7317510458464953,0.0074904770008288,True,True,True,13,13,0.0322707792479673,1.425466536940058,0.0,0.0,missing_p50_rep02_seed56.csv,NJstar_STRICT_completed_p50_rep02_seed56.csv,
