method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,masked_file,__metadata_scope,__metadata_source
MDS-SMACOF,50,3,57,MDS_SMACOF_completed_p50_rep03_seed57.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep03_seed57.csv,0.4952380952380952,105,52,53,210,0.0482135920028667,0.0259296032969014,0.0184850870388687,0.908320683721475,0.8499103560146845,0.0,0.0,missing_p50_rep03_seed57.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,4,58,MDS_SMACOF_completed_p50_rep04_seed58.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep04_seed58.csv,0.4952380952380952,105,52,53,210,0.0186240330076543,0.0240248675868668,0.0187835397392317,0.8346977713805385,0.7315802953982755,0.0,0.0,missing_p50_rep04_seed58.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,5,59,MDS_SMACOF_completed_p50_rep05_seed59.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep05_seed59.csv,0.4952380952380952,105,52,53,210,0.0481848610070301,0.0164476561566693,0.0138652346990304,0.9589381834070312,0.8359088192606505,0.0,0.0,missing_p50_rep05_seed59.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,6,60,MDS_SMACOF_completed_p50_rep06_seed60.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep06_seed60.csv,0.4952380952380952,105,52,53,210,0.0533600659982766,0.0137181226969779,0.0110084699419302,0.95659231921496,0.9240160505421326,0.0,0.0,missing_p50_rep06_seed60.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,7,61,MDS_SMACOF_completed_p50_rep07_seed61.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep07_seed61.csv,0.4952380952380952,105,52,53,210,0.0485580390086397,0.0201092379407146,0.0152566878205115,0.8848841260439656,0.8255784171433449,0.0,0.0,missing_p50_rep07_seed61.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,8,62,MDS_SMACOF_completed_p50_rep08_seed62.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep08_seed62.csv,0.4952380952380952,105,52,53,210,0.0352997209993191,0.0178264105795431,0.0134033966954498,0.9144938884720828,0.8600700076837701,0.0,0.0,missing_p50_rep08_seed62.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,9,63,MDS_SMACOF_completed_p50_rep09_seed63.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep09_seed63.csv,0.4952380952380952,105,52,53,210,0.0120866409997688,0.0187751359430575,0.0135811725804996,0.9190859900244944,0.90651412959959,0.0,0.0,missing_p50_rep09_seed63.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,10,64,MDS_SMACOF_completed_p50_rep10_seed64.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep10_seed64.csv,0.4952380952380952,105,52,53,210,0.0259683949989266,0.0265284795683596,0.0203333303091978,0.7844998550824349,0.6252027661572612,0.0,0.0,missing_p50_rep10_seed64.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,11,65,MDS_SMACOF_completed_p50_rep11_seed65.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep11_seed65.csv,0.4952380952380952,105,52,53,210,0.0266151420073583,0.0347174779411348,0.0210674988187969,0.7212660372409344,0.7888670707760608,0.0,0.0,missing_p50_rep11_seed65.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,12,66,MDS_SMACOF_completed_p50_rep12_seed66.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep12_seed66.csv,0.4952380952380952,105,52,53,210,0.0546354099933523,0.0206076751289998,0.014413149841203,0.8529107881995958,0.7630837530948519,0.0,0.0,missing_p50_rep12_seed66.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,13,67,MDS_SMACOF_completed_p50_rep13_seed67.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep13_seed67.csv,0.4952380952380952,105,52,53,210,0.0379917539976304,0.0237518101410304,0.0164795658176118,0.8144597425525273,0.706906855630496,0.0,0.0,missing_p50_rep13_seed67.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,14,68,MDS_SMACOF_completed_p50_rep14_seed68.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep14_seed68.csv,0.4952380952380952,105,52,53,210,0.017903561994899,0.0314326229565027,0.021843521547346,0.6610357751658987,0.6845385469136857,0.0,0.0,missing_p50_rep14_seed68.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,15,69,MDS_SMACOF_completed_p50_rep15_seed69.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep15_seed69.csv,0.4952380952380952,105,52,53,210,0.0230732069903751,0.0255449349334771,0.0173064495532128,0.7837037978577396,0.7689746435584393,0.0,0.0,missing_p50_rep15_seed69.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,16,70,MDS_SMACOF_completed_p50_rep16_seed70.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep16_seed70.csv,0.4952380952380952,105,52,53,210,0.0479317659919615,0.0235171287924305,0.0160924815815335,0.8745339348075823,0.8619482626141894,0.0,0.0,missing_p50_rep16_seed70.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,17,71,MDS_SMACOF_completed_p50_rep17_seed71.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep17_seed71.csv,0.4952380952380952,105,52,53,210,0.017664541999693,0.0261269671205062,0.0167912715673945,0.8601149204816556,0.81396738666439,0.0,0.0,missing_p50_rep17_seed71.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,18,72,MDS_SMACOF_completed_p50_rep18_seed72.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep18_seed72.csv,0.4952380952380952,105,52,53,210,0.0169052189885405,0.0402871702897696,0.0267120125832531,0.4710610094574979,0.5796977717066506,0.0,0.0,missing_p50_rep18_seed72.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,19,73,MDS_SMACOF_completed_p50_rep19_seed73.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep19_seed73.csv,0.4952380952380952,105,52,53,210,0.0538823819952085,0.0225891685630456,0.0178468270752553,0.834565778539485,0.6519252113036796,0.0,0.0,missing_p50_rep19_seed73.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,20,74,MDS_SMACOF_completed_p50_rep20_seed74.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep20_seed74.csv,0.4952380952380952,105,52,53,210,0.0266422610002337,0.0208616578442801,0.0165537088280358,0.894177184584241,0.7571074874071544,0.0,0.0,missing_p50_rep20_seed74.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,21,75,MDS_SMACOF_completed_p50_rep21_seed75.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep21_seed75.csv,0.4952380952380952,105,52,53,210,0.0509683860000222,0.0209730925682034,0.0156539810478733,0.8566421476604009,0.7179202595406813,0.0,0.0,missing_p50_rep21_seed75.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,22,76,MDS_SMACOF_completed_p50_rep22_seed76.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep22_seed76.csv,0.4952380952380952,105,52,53,210,0.0447148099920013,0.0141539180144377,0.0109178852944985,0.9555772133202628,0.8786818065397421,0.0,0.0,missing_p50_rep22_seed76.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,23,77,MDS_SMACOF_completed_p50_rep23_seed77.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep23_seed77.csv,0.4952380952380952,105,52,53,210,0.0132069480023346,0.0193631745112444,0.0126834436483706,0.8839827756845434,0.823102535644156,0.0,0.0,missing_p50_rep23_seed77.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,24,78,MDS_SMACOF_completed_p50_rep24_seed78.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep24_seed78.csv,0.4952380952380952,105,52,53,210,0.0194382259942358,0.0225494013371309,0.0161190659287339,0.8096896533122848,0.6811235379492872,0.0,0.0,missing_p50_rep24_seed78.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,25,79,MDS_SMACOF_completed_p50_rep25_seed79.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep25_seed79.csv,0.4952380952380952,105,52,53,210,0.0391807870037155,0.0217836495867582,0.016480660924877,0.8808323451600485,0.741483821395031,0.0,0.0,missing_p50_rep25_seed79.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,26,80,MDS_SMACOF_completed_p50_rep26_seed80.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep26_seed80.csv,0.4952380952380952,105,52,53,210,0.0277928099967539,0.0360724267601392,0.0228291345176788,0.6834364671554504,0.8016733543925554,0.0,0.0,missing_p50_rep26_seed80.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,27,81,MDS_SMACOF_completed_p50_rep27_seed81.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep27_seed81.csv,0.4952380952380952,105,52,53,210,0.0584979059931356,0.0178840183860466,0.0146973334744712,0.9321877559408516,0.804832237684624,0.0,0.0,missing_p50_rep27_seed81.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,28,82,MDS_SMACOF_completed_p50_rep28_seed82.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep28_seed82.csv,0.4952380952380952,105,52,53,210,0.0242029270011698,0.0223216615266189,0.0143995126108851,0.8109721192610339,0.7011867156151285,0.0,0.0,missing_p50_rep28_seed82.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,29,83,MDS_SMACOF_completed_p50_rep29_seed83.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep29_seed83.csv,0.4952380952380952,105,52,53,210,0.0288865149923367,0.0212522995605105,0.015601351107619,0.8992545369118337,0.8747545462306838,0.0,0.0,missing_p50_rep29_seed83.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,50,30,84,MDS_SMACOF_completed_p50_rep30_seed84.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep30_seed84.csv,0.4952380952380952,105,52,53,210,0.052940278997994,0.0211982961527079,0.0162415051471384,0.8870119269772561,0.7337146760010244,0.0,0.0,missing_p50_rep30_seed84.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,65,1,55,MDS_SMACOF_completed_p65_rep01_seed55.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p65_rep01_seed55.csv,0.6476190476190476,105,68,37,210,0.0119096340058604,0.0268818207880165,0.0201899186758219,0.7910059550396744,0.768637630263007,0.0,0.0,missing_p65_rep01_seed55.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,65,2,56,MDS_SMACOF_completed_p65_rep02_seed56.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p65_rep02_seed56.csv,0.6476190476190476,105,68,37,210,0.0108740900031989,0.0323228042107012,0.0225294683501876,0.605456096223254,0.621216169790434,0.0,0.0,missing_p65_rep02_seed56.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,65,3,57,MDS_SMACOF_completed_p65_rep03_seed57.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p65_rep03_seed57.csv,0.6476190476190476,105,68,37,210,0.0193091490073129,0.0266211087047086,0.0187038247235202,0.798235863895184,0.6986296140779479,0.0,0.0,missing_p65_rep03_seed57.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,65,4,58,MDS_SMACOF_completed_p65_rep04_seed58.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p65_rep04_seed58.csv,0.6476190476190476,105,68,37,210,0.0080147770058829,0.028159072063224,0.021650403464221,0.772246140131321,0.6156811848684963,0.0,0.0,missing_p65_rep04_seed58.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
