method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,iters_used,epochs_used,convergence_epoch,final_rank,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
LRMC-SoftImpute,30,23,77,LRMC_SoftImpute_completed_p30_rep23_seed77.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep23_seed77.csv,0.3047619047619048,105,32,73,32,0.0473535161381708,0.0375445738596644,0.6774640034536532,0.594941348973607,0.0144226999982493,True,True,True,324,324,324,9,0.1172234298433544,10.745738791602816,0.0,0.0,missing_p30_rep23_seed77.csv,LRMC_SoftImpute_completed_p30_rep23_seed77.csv,
LRMC-SoftImpute,30,24,78,LRMC_SoftImpute_completed_p30_rep24_seed78.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep24_seed78.csv,0.3047619047619048,105,32,73,32,0.0447857591091043,0.0351042306290061,0.7463211813762226,0.782624633431085,0.0320039780053775,True,True,True,719,719,719,10,0.1170511969762287,11.904129205580594,0.0,0.0,missing_p30_rep24_seed78.csv,LRMC_SoftImpute_completed_p30_rep24_seed78.csv,
LRMC-SoftImpute,30,25,79,LRMC_SoftImpute_completed_p30_rep25_seed79.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep25_seed79.csv,0.3047619047619048,105,32,73,32,0.0588117719300155,0.0503454175837962,0.4684206279119015,0.3885630498533724,0.015234741003951,True,True,True,386,386,386,8,0.1249986751964546,12.254674975658226,0.0,0.0,missing_p30_rep25_seed79.csv,LRMC_SoftImpute_completed_p30_rep25_seed79.csv,
LRMC-SoftImpute,30,26,80,LRMC_SoftImpute_completed_p30_rep26_seed80.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep26_seed80.csv,0.3047619047619048,105,32,73,32,0.0543242412557004,0.0401461388594941,0.6324654530838676,0.4780058651026392,0.0128886009915731,True,True,True,325,325,325,8,0.1266166591863929,19.49985355356033,0.0,0.0,missing_p30_rep26_seed80.csv,LRMC_SoftImpute_completed_p30_rep26_seed80.csv,
LRMC-SoftImpute,30,27,81,LRMC_SoftImpute_completed_p30_rep27_seed81.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep27_seed81.csv,0.3047619047619048,105,32,73,32,0.0657663887271844,0.0549197030620446,0.0756793268384238,-0.0289589442815249,0.0204643540055258,True,True,True,540,540,540,10,0.1427242546296458,15.830692088893157,0.0,0.0,missing_p30_rep27_seed81.csv,LRMC_SoftImpute_completed_p30_rep27_seed81.csv,
LRMC-SoftImpute,30,28,82,LRMC_SoftImpute_completed_p30_rep28_seed82.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep28_seed82.csv,0.3047619047619048,105,32,73,32,0.0611351708414678,0.0526619057419786,0.3461365979385969,0.1854838709677419,0.0179342629999155,True,True,True,415,415,415,9,0.1386788624738022,12.183239902748303,0.0,0.0,missing_p30_rep28_seed82.csv,LRMC_SoftImpute_completed_p30_rep28_seed82.csv,
LRMC-SoftImpute,30,29,83,LRMC_SoftImpute_completed_p30_rep29_seed83.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep29_seed83.csv,0.3047619047619048,105,32,73,32,0.0518801784212955,0.044828980232815,0.3582379974153196,0.2624633431085044,0.0327416570071363,True,True,True,756,756,756,10,0.1293854008086054,13.325900601573558,0.0,0.0,missing_p30_rep29_seed83.csv,LRMC_SoftImpute_completed_p30_rep29_seed83.csv,
LRMC-SoftImpute,30,30,84,LRMC_SoftImpute_completed_p30_rep30_seed84.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep30_seed84.csv,0.3047619047619048,105,32,73,32,0.0493759781790053,0.0418604778335179,0.6188388503360076,0.4270527859237536,0.0168524339969735,True,True,True,391,391,391,9,0.1284896099430068,11.925872076727217,0.0,0.0,missing_p30_rep30_seed84.csv,LRMC_SoftImpute_completed_p30_rep30_seed84.csv,
LRMC-SoftImpute,50,1,55,LRMC_SoftImpute_completed_p50_rep01_seed55.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep01_seed55.csv,0.4952380952380952,105,52,53,52,0.06027838107199,0.0485869417060391,0.4388878209276178,0.2842994962861778,0.2282262460066704,True,True,True,6000,6000,6000,7,0.1867583533042058,19.386544127138567,0.0,0.0,missing_p50_rep01_seed55.csv,LRMC_SoftImpute_completed_p50_rep01_seed55.csv,
LRMC-SoftImpute,50,2,56,LRMC_SoftImpute_completed_p50_rep02_seed56.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep02_seed56.csv,0.4952380952380952,105,52,53,52,0.0618682811688088,0.0531002715564806,0.5027858144991597,0.4226073593443182,0.0213886769925011,True,True,True,582,582,582,7,0.1778579198252484,18.046160484360165,0.0,0.0,missing_p50_rep02_seed56.csv,LRMC_SoftImpute_completed_p50_rep02_seed56.csv,
