method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,iters_used,epochs_used,convergence_epoch,final_rank,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
LRMC-SoftImpute,30,23,77,LRMC_SoftImpute_completed_p30_rep23_seed77.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep23_seed77.csv,0.3047619047619048,105,32,73,32,0.1014008697162263,0.0875511949610631,0.5071867850197742,0.3793988269794721,0.0967846799999279,True,True,True,2228,2228,2228,10,0.1238151521662833,14.215778088777144,0.0,0.0,missing_p30_rep23_seed77.csv,LRMC_SoftImpute_completed_p30_rep23_seed77.csv,
LRMC-SoftImpute,30,24,78,LRMC_SoftImpute_completed_p30_rep24_seed78.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep24_seed78.csv,0.3047619047619048,105,32,73,32,0.0945347297365193,0.0838047449534986,0.5196916951161805,0.4175219941348973,0.0433341640000435,True,True,True,1166,1166,1166,10,0.1165694644453102,12.125130654874352,0.0,0.0,missing_p30_rep24_seed78.csv,LRMC_SoftImpute_completed_p30_rep24_seed78.csv,
LRMC-SoftImpute,30,25,79,LRMC_SoftImpute_completed_p30_rep25_seed79.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep25_seed79.csv,0.3047619047619048,105,32,73,32,0.112030149670347,0.0975282769835009,0.311336499990563,0.2067448680351906,0.0368394260001423,True,True,True,692,692,692,10,0.1347811749750793,14.997765129099708,0.0,0.0,missing_p30_rep25_seed79.csv,LRMC_SoftImpute_completed_p30_rep25_seed79.csv,
LRMC-SoftImpute,30,26,80,LRMC_SoftImpute_completed_p30_rep26_seed80.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep26_seed80.csv,0.3047619047619048,105,32,73,32,0.1075336235816724,0.0878796473069248,0.4485355004021357,0.3929618768328445,0.0434752610001396,True,True,True,1278,1278,1278,10,0.13116099859826,20.28336841084047,0.0,0.0,missing_p30_rep26_seed80.csv,LRMC_SoftImpute_completed_p30_rep26_seed80.csv,
LRMC-SoftImpute,30,27,81,LRMC_SoftImpute_completed_p30_rep27_seed81.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep27_seed81.csv,0.3047619047619048,105,32,73,32,0.1053743914032248,0.0904887218469095,0.2475768477360393,0.1979472140762463,0.0378314390000014,True,True,True,863,863,863,10,0.1330306816376733,22.107915142067498,0.0,0.0,missing_p30_rep27_seed81.csv,LRMC_SoftImpute_completed_p30_rep27_seed81.csv,
LRMC-SoftImpute,30,28,82,LRMC_SoftImpute_completed_p30_rep28_seed82.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep28_seed82.csv,0.3047619047619048,105,32,73,32,0.1129517406339436,0.1014089359378523,0.4049555286556401,0.4505131964809383,0.0424772989999837,True,True,True,744,744,744,10,0.1481507585204904,21.6340851774222,0.0,0.0,missing_p30_rep28_seed82.csv,LRMC_SoftImpute_completed_p30_rep28_seed82.csv,
LRMC-SoftImpute,30,29,83,LRMC_SoftImpute_completed_p30_rep29_seed83.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep29_seed83.csv,0.3047619047619048,105,32,73,32,0.1009841986297399,0.0830950061268162,0.3899787490716035,0.3255131964809384,0.1038614609999513,True,True,True,2712,2712,2712,10,0.1255045858727549,15.047309764153654,0.0,0.0,missing_p30_rep29_seed83.csv,LRMC_SoftImpute_completed_p30_rep29_seed83.csv,
LRMC-SoftImpute,30,30,84,LRMC_SoftImpute_completed_p30_rep30_seed84.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep30_seed84.csv,0.3047619047619048,105,32,73,32,0.0962426076896795,0.0875526699819417,0.688042761210018,0.7140762463343108,0.0709156810000877,True,True,True,1798,1798,1798,9,0.1317735057939838,17.024410746262074,0.0,0.0,missing_p30_rep30_seed84.csv,LRMC_SoftImpute_completed_p30_rep30_seed84.csv,
LRMC-SoftImpute,50,1,55,LRMC_SoftImpute_completed_p50_rep01_seed55.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep01_seed55.csv,0.4952380952380952,105,52,53,52,0.1018848892250742,0.0860650856065469,0.377911559230679,0.295312900196363,0.0785284799999317,True,True,True,2193,2193,2193,8,0.1701750399349042,20.828231448363997,0.0,0.0,missing_p50_rep01_seed55.csv,LRMC_SoftImpute_completed_p50_rep01_seed55.csv,
LRMC-SoftImpute,50,2,56,LRMC_SoftImpute_completed_p50_rep02_seed56.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep02_seed56.csv,0.4952380952380952,105,52,53,52,0.1270256905526387,0.1143851089487134,0.232866984005343,0.1328438487151028,0.0552767059998586,True,True,True,1410,1410,1410,8,0.2014990662089542,31.13814912072002,0.0,0.0,missing_p50_rep02_seed56.csv,LRMC_SoftImpute_completed_p50_rep02_seed56.csv,
LRMC-SoftImpute,50,3,57,LRMC_SoftImpute_completed_p50_rep03_seed57.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep03_seed57.csv,0.4952380952380952,105,52,53,52,0.1332661884763995,0.1129075378922419,0.0068536640013617,0.016050542132673,0.0241908899999998,True,True,True,630,630,630,7,0.192557680678393,27.922582280612968,0.0,0.0,missing_p50_rep03_seed57.csv,LRMC_SoftImpute_completed_p50_rep03_seed57.csv,
LRMC-SoftImpute,50,4,58,LRMC_SoftImpute_completed_p50_rep04_seed58.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep04_seed58.csv,0.4952380952380952,105,52,53,52,0.1115807983376987,0.095832063584516,0.4234657241302999,0.4709297361905575,0.0544430070001453,True,True,True,1479,1479,1479,8,0.1812108272249277,24.118086650365395,0.0,0.0,missing_p50_rep04_seed58.csv,LRMC_SoftImpute_completed_p50_rep04_seed58.csv,
LRMC-SoftImpute,50,5,59,LRMC_SoftImpute_completed_p50_rep05_seed59.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep05_seed59.csv,0.4952380952380952,105,52,53,52,0.1041973671179623,0.0888971346030443,0.5185543782803328,0.409288824383164,0.0379264419998435,True,True,True,1112,1112,1112,8,0.1852618322649541,22.03241612812061,0.0,0.0,missing_p50_rep05_seed59.csv,LRMC_SoftImpute_completed_p50_rep05_seed59.csv,
