,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T21,0.1709617115671554,0.10366703675335952,0.05773256941355423,0.08549292409014991,0.046033708214986584,0.1765941259419654,0.16012728482280644,0.16773704063734327,0.1019097817724267,0.1122313140029363,0.15031873979190413,0.19103140767453625,0.1919673800052282,0.06257133472834503,0.12571371650148952,0.18160470983534385,0.0831993370340941,0.109470190689481,0.1104624922255438,0.1448428578045867,0.0,0.1725247662357616,0.1160872994024957,0.12325115704363658,0.045134340018774796,0.1084210708728619,0.0859288529853505,0.1574587703583155,0.07980163093112494,0.10181880730963375
T22,0.15854538337348115,0.1739429484307662,0.13834702387734282,0.1876387985971452,0.1617849635846986,0.1793175718477472,0.1735353039641656,0.21968204168536404,0.17813573530344246,0.1972150771224082,0.0336420882602265,0.1721657752804092,0.041105387036578324,0.1605626931536392,0.2015875335488431,0.1923573207344281,0.1681831001535659,0.162326281230481,0.1633185827665438,0.14049830163344806,0.1725247662357616,0.0,0.1689433899434957,0.1752592965858298,0.14955928447304356,0.11107292424275841,0.11380769089324677,0.06766114245706165,0.20626247921249619,0.082595677815246
T23,0.12471259570915294,0.08728262224645772,0.050803542077101985,0.1664472802673717,0.1538899539519316,0.1730127496496994,0.1672304817661178,0.2093658679007599,0.08080736104372144,0.0848492598931515,0.1573405161099624,0.12609739803849385,0.16375217024499297,0.1526676835208721,0.0795283640659131,0.1860524985363803,0.1117456333202999,0.046119089967033844,0.08915272269411416,0.10237109007192308,0.1160872994024957,0.1689433899434957,0.0,0.08167956426810236,0.07407092431620488,0.0984617766421685,0.1144751492715564,0.14550842547636778,0.0617140107859019,0.1633493418938651
T24,0.14284522931935456,0.040502928808986524,0.1152596652665479,0.16440315874297884,0.14433610545638678,0.08260221857383641,0.173546388408452,0.2156817745430941,0.1273368540195159,0.1358097217037895,0.13646470200683192,0.041806134525063494,0.1947019103552964,0.14048672130970846,0.14449617791266692,0.1923684051787144,0.1067777447349472,0.03300134610576062,0.113197022575612,0.13029917181189632,0.12325115704363658,0.1752592965858298,0.08167956426810236,0.0,0.10423406977150984,0.1453095242723498,0.1095072606862036,0.07639492135303919,0.1428624522400401,0.1696652485361992
T25,0.1229267593508507,0.1118471237777646,0.023304724897532172,0.1607889224476361,0.07866547209704138,0.1673543918299639,0.1615721239463823,0.2037075100810244,0.124797720238897,0.1351192524694066,0.1516821582902268,0.165988174836249,0.1827276458932267,0.0962716013287628,0.1394917088958416,0.1803941407166447,0.12246814560623702,0.070366431776887,0.0948448401751148,0.1356031236925852,0.045134340018774796,0.14955928447304356,0.07407092431620488,0.10423406977150984,0.0,0.0928034188224329,0.07315726347325896,0.148219036246314,0.05540635981269844,0.127002175512246
T26,0.05852636168179941,0.1098392530678665,0.0948996121561526,0.16863482021401172,0.1462237254222978,0.11946241388735789,0.05154509171540611,0.132591835890338,0.1227898495289988,0.1192756720969236,0.09541992387521969,0.1639803041263507,0.1339455027457431,0.1450014549912384,0.1374838381859434,0.07928773928130325,0.1040794047906662,0.1259246752969715,0.024344416580894,0.133595252982687,0.1084210708728619,0.11107292424275841,0.0984617766421685,0.1453095242723498,0.0928034188224329,0.0,0.0845340786611348,0.1462111655364158,0.0684719236258147,0.1556831133642313
T27,0.15235475295348772,0.08140268030534796,0.08922648919615225,0.1684165064286984,0.1558591801132583,0.11152646477776582,0.1691997079274446,0.2113350940620866,0.083996478098491,0.09383840500511986,0.12125129818994623,0.1736157588173112,0.1903552298742889,0.1546369096821989,0.1358354976492169,0.1663810249434587,0.0652860333601583,0.08980446570897158,0.11747999608366255,0.08017869266062572,0.0859288529853505,0.11380769089324677,0.1144751492715564,0.1095072606862036,0.07315726347325896,0.0845340786611348,0.0,0.129517433733997,0.1385157717590326,0.1653185680551918
T28,0.1602093490302103,0.09397240602976176,0.1503152295800336,0.1725728027196991,0.12275462723161593,0.12467336363333936,0.1600594955214387,0.14961146974778916,0.180348896789359,0.1821490812449621,0.03819750515366474,0.07038424596665466,0.08892181109316619,0.091256726482283,0.186521537671397,0.1788815122917011,0.1531171042761198,0.09935119992575087,0.1482525868890977,0.1473870039646481,0.1574587703583155,0.06766114245706165,0.14550842547636778,0.07639492135303919,0.148219036246314,0.1462111655364158,0.129517433733997,0.0,0.20870649611321096,0.1019383848552759
T29,0.12340574977414408,0.1415461040849765,0.05794449812791157,0.17373729741877725,0.1389957101221707,0.22064610816059388,0.1498084978406015,0.2334064903882361,0.1139692310436749,0.16220031431981602,0.1813811385974386,0.1956871551434608,0.2124266262004385,0.15371577549438614,0.1691906892030534,0.2100931210238565,0.1357862558077762,0.1000654120840988,0.06602097499261358,0.165302103999797,0.07980163093112494,0.20626247921249619,0.0617140107859019,0.1428624522400401,0.05540635981269844,0.0684719236258147,0.1385157717590326,0.20870649611321096,0.0,0.1873899643813413
T30,0.1696812968580258,0.17905771297058723,0.11579954931453729,0.06893809951640797,0.0522017592946794,0.1753137112328358,0.17732276960986118,0.2249633381809028,0.15942298449014453,0.18685714194481484,0.10489878891578996,0.1739474942391209,0.051321508797927184,0.0969819707772311,0.1959934854992125,0.1883534601195166,0.1336492910998507,0.1567322331808504,0.1611950232060626,0.1568589517924637,0.10181880730963375,0.082595677815246,0.1633493418938651,0.1696652485361992,0.127002175512246,0.1556831133642313,0.1653185680551918,0.1019383848552759,0.1873899643813413,0.0
